"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
33898.5728522934,0.926466699518192,0.15468135377837,5.98951765605601,2.10464283848554e-09,1.47058588208103e-07,"magB"
4493.78788396352,-1.18225301511611,0.198290735047868,-5.9622201452363,2.48833588782474e-09,1.71695176259907e-07,"PA5466"
9476.79839026488,-1.14196367666636,0.191854149868339,-5.95224902588782,2.64482528358449e-09,1.80239945251684e-07,"prtR"
4693.08931632153,-1.38059381229059,0.232544864518825,-5.93689228591342,2.90475367934534e-09,1.95539515975443e-07,"PA0623"
4613.47453727511,-1.49616840106504,0.253574971442555,-5.90029998841577,3.62841236881087e-09,2.41311280431759e-07,"PA1169"
10718.7239491426,-1.30328028563322,0.221889420233892,-5.87355757773148,4.26540787728085e-09,2.78349160191391e-07,"PA0669"
6656.12358596961,0.938916142450866,0.159919551393257,5.87117794085093,4.32709521826868e-09,2.78349160191391e-07,"PA4514"
14955.3989701441,-1.48694065617395,0.253276733311005,-5.87081425417822,4.33659923486587e-09,2.78349160191391e-07,"prtN"
4005.67780968577,-1.45475978069988,0.248131870488158,-5.86284937052981,4.54990942524484e-09,2.88683908360362e-07,"PA5470"
3538.96598915132,-1.05056799822278,0.180455138185984,-5.82176827317615,5.82282460077558e-09,3.64175272981796e-07,"PA4140"
72838.3100654337,1.83248571944492,0.314839945474383,5.82037236947119,5.87166653901810e-09,3.64175272981796e-07,"clpV1"
3231.36027211211,-0.789602079319299,0.136092673607013,-5.80194406055529,6.55504323328007e-09,4.02042651641177e-07,"PA1536"
8500.28417395376,-0.813820070036925,0.14115372042586,-5.76548792041494,8.14219341568797e-09,4.88531604941278e-07,"folD"
1750.20358805167,1.21055819010134,0.209942997219022,5.76612797824559,8.11134739866693e-09,4.88531604941278e-07,"vqsM"
8557.88443384082,-0.575707861521346,0.100808880154525,-5.71088440461668,1.12390568848872e-08,6.67092408651372e-07,"PA3093"
2454.43309037333,-0.930987309008984,0.163202825136298,-5.70448034972113,1.16698555093388e-08,6.85293642676067e-07,"PA3720"
9346.47863988319,-0.959200675288549,0.168330955625434,-5.69830232190294,1.21006331766058e-08,7.0311047510383e-07,"speD"
5742.40109631186,0.623367785774812,0.1097904864418,5.67779418761625,1.36442738752761e-08,7.84545747828375e-07,"PA3796"
8172.82189829098,-0.677290481925485,0.1195260431126,-5.66646786163112,1.45771157202475e-08,8.29543080162537e-07,"rpe"
64121.6924379002,-1.0564712376256,0.186854670494056,-5.65397287010389,1.56780968250021e-08,8.8309280075522e-07,"rho"
3516.15716855003,-0.727277096156704,0.128985684118045,-5.63843267669235,1.71604885545869e-08,9.56827240619392e-07,"PA0380"
724.568400551098,-0.868177588398069,0.155096974487136,-5.59764361148178,2.17284842946702e-08,1.1994123330658e-06,"PA0574.1"
1389.74303076985,1.37950349543807,0.248493150061688,5.55147494043847,2.83269327527861e-08,1.54816503757801e-06,"PA2224"
13878.2545272264,-0.451117809328524,0.0814351608828233,-5.53959499113208,3.03171965275924e-08,1.64069534149324e-06,"aroC"
11201.1497575872,-0.941329122129091,0.170361280219372,-5.5254874870449,3.28571996366017e-08,1.76089069897128e-06,"fleS"
2317.21746626412,-1.27634384113402,0.231342052983698,-5.5171285318539,3.44583421069957e-08,1.82894277337131e-06,"PA3671"
11157.9702755368,1.07181313250795,0.194444727052923,5.51217381285034,3.54428641114063e-08,1.84570386693361e-06,"PA0095"
4425.76597492468,-1.02854035422424,0.186571398507494,-5.51285117897062,3.53066763294374e-08,1.84570386693361e-06,"PA3979"
10120.4163259133,-1.12703280656746,0.204549363923423,-5.50983285868043,3.59174586889193e-08,1.85293805572743e-06,"PA2652"
2966.51232827983,0.917076374966698,0.167141865479059,5.4868142840107,4.09246988378913e-08,2.07251685857945e-06,"PA2538"
8246.45655017009,-1.57865023757896,0.287673072630369,-5.48765382572796,4.07307280747947e-08,2.07251685857945e-06,"PA3414"
42414.1411571428,1.69280055982941,0.30882185879747,5.48147908448271,4.21784594770583e-08,2.11659178466692e-06,"vgrG1"
491.602948589576,-0.747807140241239,0.136909931709177,-5.46203720143345,4.7070140528844e-08,2.34078536683981e-06,"PA3824.1"
1690.11193575151,1.03976141623136,0.191036619521999,5.44273353890468,5.24691037471781e-08,2.58597725611092e-06,"PA2222"
4353.16827723899,-1.40424991838891,0.258205891802453,-5.43848906229942,5.37343079410702e-08,2.62489716667883e-06,"PA0670"
