"","PA-0M-4","PA-0M-6","PA-0M-7","PA-0M-8","PA-5M-4","PA-5M-6","PA-5M-7","PA-5M-8"
"rmf",15.2564583182683,15.8749027020821,16.1581509606355,15.4655835502065,16.7003091728815,15.4386277002247,16.1982314940371,16.6739270792163
"rmlA",13.8245207479779,14.0809484949233,14.1620972170975,13.6833138920249,14.1232017008286,14.227248906157,14.4407089284775,14.4499462486923
"rmlB",14.0478511695808,14.2611595585565,14.2703419062433,13.9919638156228,14.1139205529617,14.0684299316558,14.2692278737665,14.3350641779752
"rmlC",12.9878957123727,13.2884577750127,13.3286947972925,12.8907165422366,13.3333160015099,13.529420838133,13.6921390136552,13.7501038086009
"rmlD",13.2387825649751,13.2855861936472,13.3402758337552,13.2467454970682,13.3997790689434,13.3226157800723,13.4432792008734,13.497996475137
"rnc",13.2201112736314,13.0674784217947,12.9351939999933,13.2823937928227,12.6692951729847,13.2508963156893,13.0795963708103,13.0136641678222
"rnd",12.6258838830399,12.2441732437108,12.5330831105512,12.7149766844627,12.6245641303671,12.2970526099586,11.9273437967531,12.5015903839127
"rne",16.7267602441213,16.9165380473602,16.3600329196562,16.7019734185789,16.4875757183701,17.5904270564183,17.4175743141852,16.536770635417
"rnhA",12.982574738422,13.247259993821,13.173647173541,12.9008681577194,13.1337821376245,13.1840972401129,13.5930612768886,13.2150611506593
"rnhB",13.4511111816773,12.5597892254943,12.8989210051331,13.4317070812099,11.697353801485,12.8080775428374,12.1486582675804,11.8386430084954
"rnk",14.3623992524073,14.4067380363644,14.6503778294597,14.0782426966971,14.1648107950597,14.1056096638814,14.8814599677949,14.415175500857
"rnpA",14.7173194959243,14.2847386229801,14.4731819717785,14.8394875512679,13.7042740096425,14.3516409246954,13.8158800126345,13.9558692719883
"rnpB",22.7193715013743,22.4546920955803,22.601880860858,22.8889888811086,22.1126845056739,22.2649943828523,22.5311520347025,22.1461413510439
"rnr",16.4932242061627,16.571703998473,16.5434223108437,16.5035536758233,16.4915124526861,17.094585875553,17.0582056060705,16.7884464043509
"rnt",13.1467820527986,13.1457385968437,13.2005221450773,13.1734143985484,13.0538584933256,13.3074539031012,12.9429020644013,13.1193711140666
"rocA1",13.3127322223654,13.5029950642086,13.4775762620893,13.2825276705352,13.1873432017585,13.531687852416,13.7483150330005,13.3681833954797
"rocA2",9.63018210907054,9.4190886833079,9.64116274611339,9.57746718287656,9.55032844256419,9.17928474628999,9.25743226644718,9.52962407428705
"rocR",11.7325947199906,11.5628123540455,11.6520658608439,11.796293934744,11.5495861944175,11.41019330196,11.6307572823509,11.5680382900535
"rocS1",11.783587281108,11.50628956097,11.434173514765,11.9164202141041,12.0406373200395,11.4981453171205,11.2786812651294,11.6603969113787
"rocsS2",11.6286986314745,11.4942954353743,11.4692563391335,11.6681209141741,11.8069861550769,11.6765803627746,11.2341905932592,11.6271094227373
"rodA",13.323557465718,13.6896061500823,13.3062345489297,13.3218797616611,13.2011944661753,14.0745379942245,13.7796099875731,13.2691651472332
"roeA",12.0113138099681,12.1402518312915,11.9707913311293,12.2322187216566,11.6527500390151,11.9512611035041,11.6469552422949,11.8249461464972
"roxR",14.1793183661011,14.7596124210417,14.4038545320437,14.0906819546033,14.5409256476858,15.3511998838512,15.071152854158,14.720137978357
"roxS",14.5981057610996,14.6105786878552,14.7844977401134,14.6924743641861,14.5286359701312,14.7326987304062,14.9896928489855,14.6049128575366
"rpe",13.350915845813,13.1791850840938,13.2817040266009,13.3834663702548,12.6968353775971,12.4237371228078,12.5972328521266,12.7671577039834
"rph",13.5499780285488,13.6841076317572,13.5951334183661,13.5367954561472,13.2958748950851,13.7419375518148,13.5064659241676,13.3962400425676
"rpiA",13.5918582192419,13.6790488470781,13.6428983610143,13.5686538131583,13.0849968256253,13.4203059344848,13.5950006833415,13.3093948484748
"rplA",16.2345865029097,16.6796166923283,15.8280317712795,16.2539115830542,15.8249375691253,18.2070831257495,17.3632132734666,16.1589314514696
"rplB",16.2388293229211,16.7809690626705,15.7917383345004,16.1143357047404,16.1896887419539,18.4872768482358,17.8420693428444,16.666922497216
"rplC",16.317934960519,16.5064955662968,15.8882308850964,16.4200826123285,15.9665286943222,18.0012865870525,17.0397033392654,16.2896822677101
"rplD",15.7924278256706,16.0775081993483,15.3274184700475,15.8796053296442,15.6138138801207,17.8360612460954,16.7582148992396,15.8889844715785
"rplE",16.3124948067351,17.148266080693,16.2163197780801,15.8144807961043,16.2366905713396,18.5381928625883,18.4146048257688,16.9682728140461
"rplF",16.3851194006803,16.4253492405284,16.0909424683893,16.4654100009906,15.9539335471785,17.5142961828699,16.875870545442,16.2274912396145
"rplI",14.6316366450329,15.2167366553427,14.2590551336563,14.5526604048971,14.1875809838106,17.0338113022763,15.7635478066872,14.341812490774
"rplJ",16.152303676892,17.1053600379966,15.9005758119575,15.7734894314334,16.0507762802789,18.6118091608817,18.1746076649883,16.767177659865
"rplK",16.0103491973867,16.575142851971,15.7193571983813,15.9120279019928,15.8207344626854,17.8402192646993,17.5407675302938,16.3343954752288
