"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA4635_at",3.84799323105142,3.69692161485452,19.0746452135973,1.60358149400885e-11,3.44259790736536e-09,16.882663290762
"PA2404_at",-3.37046913894249,6.7705696630791,-18.9857338442955,1.70957236044696e-11,3.5105696775613e-09,16.8191369136386
"PA0771_era_at",-3.00821628529632,5.40883401349786,-18.5994218771019,2.26506732554077e-11,4.45746374105377e-09,16.5394194425179
"PA3195_gapA_at",2.95794818346793,6.97684499380498,18.4396257128159,2.5486773567844e-11,4.81496126243709e-09,16.4219226864392
"PA3646_lpxD_at",-3.18449051744946,5.62237596420456,-18.3199803186165,2.7857687845709e-11,5.06045614212629e-09,16.3332476843842
"PA2398_fpvA_at",-4.87894129800766,6.07735662374264,-18.2042498404163,3.03762172982201e-11,5.2115295897399e-09,16.2468963977286
"PA2407_at",-3.59330956698563,6.22076098132525,-18.1816329565098,3.08962160729869e-11,5.2115295897399e-09,16.2299541124611
"PA5429_aspA_at",-2.95390346626383,6.2817789261564,-18.1205104355304,3.23496505338289e-11,5.2279746307222e-09,16.1840571992059
"PA3385_at",3.04659062478654,9.76784642470168,18.0857934976741,3.32075458229231e-11,5.2279746307222e-09,16.1579164161726
"PA0997_at",-4.56677621320751,7.49379634558227,-18.0128193797264,3.50910247612154e-11,5.34628741765227e-09,16.1027986269688
"PA4558_at",-4.1546555062425,5.81117917493656,-17.9680752363539,3.63020352575953e-11,5.35795351630071e-09,16.0688882740942
"PA4757_at",-3.01217100886903,4.39983465573076,-17.6042977722043,4.79730646598268e-11,6.8659631632837e-09,15.7899027678329
"PA0060_at",2.99727851025104,5.06913427423252,17.5030473321454,5.18922926582834e-11,7.20844994779625e-09,15.711193968388
"PA1553_at",-3.41077131350785,5.26090910992584,-17.4016741429862,5.61605481290849e-11,7.57846482324766e-09,15.6319197118049
"PA3803_at",-3.8139626165646,5.16328396290226,-17.3298472266088,5.94108139815104e-11,7.79436873429649e-09,15.5754636168153
"PA2639_nuoD_at",-3.44573947571173,4.68866687809562,-17.2930204051222,6.1154620146797e-11,7.80630462036006e-09,15.5464246910704
"PA5564_gidB_at",-3.58658672204565,4.22849463902007,-17.2149263208072,6.50358632843631e-11,7.94448223433861e-09,15.4846356684786
"PA4469_at",-4.06396915789952,6.76789846080976,-17.1911172593688,6.62708249383894e-11,7.94448223433861e-09,15.4657406808516
"PA3531_bfrB_at",3.61601797652596,4.82269649611626,17.171947100729,6.72833557852095e-11,7.94448223433861e-09,15.4505077321019
"PA3819_at",3.43144902319968,8.34334320471492,17.0589165889852,7.3599117084922e-11,8.47825926809967e-09,15.3603377711302
"PA3007_lexA_at",3.01622828270529,4.54714584018689,16.7750500531083,9.24226143724325e-11,1.00772075081367e-08,15.1311792985671
"PA4468_sodM_at",-2.98841681275942,6.10785431283525,-16.7627550132245,9.3346165915625e-11,1.00772075081367e-08,15.1211652574881
"PA2405_at",-4.5527492437464,5.76566939086121,-16.7557019883633,9.38804002451866e-11,1.00772075081367e-08,15.1154173716098
"PA2640_nuoE_at",-2.5902370495358,6.39272996882881,-16.7107545284512,9.73625407643498e-11,1.02187395562228e-08,15.0787297694815
"PA4459_at",-3.29641979976861,5.6748181599999,-16.6715684859682,1.00510869109254e-10,1.02295071846888e-08,15.0466634494919
"PA0763_mucA_at",2.6831885520883,8.67337146592488,16.6559368740069,1.01796916722501e-10,1.02295071846888e-08,15.0338507298535
"PA0899_aruB_at",-2.74998776330909,6.04865876357148,-16.5371133150962,1.12166086162068e-10,1.10366755196551e-08,14.936057081375
"PA5360_phoB_at",2.97532093874965,5.20535255258249,16.268791132747,1.39961957987015e-10,1.3398023072829e-08,14.712602347089
"PA4385_groEL_at",-3.98845069543895,5.85767542833959,-16.2527795224526,1.41838059208437e-10,1.3398023072829e-08,14.6991517005919
"PA3014_faoA_at",-2.58945555159864,7.17769246450069,-15.984485400877,1.77608569592972e-10,1.6444342238018e-08,14.4717832007886
"PA3982_at",-2.76075404090735,5.90053562344827,-15.9451899230673,1.83608696889264e-10,1.6444342238018e-08,14.4381636792069
"PA4226_pchE_at",-3.25212240490699,6.20891061412588,-15.9392574771622,1.84533165067744e-10,1.6444342238018e-08,14.433080996164
"PA1029_at",3.70925298047,5.19274330572758,15.8912603231172,1.92197832223262e-10,1.65791588034308e-08,14.3918898778328
"PA0833_at",2.50589192094744,6.88390739500175,15.879341550232,1.9415331052753e-10,1.65791588034308e-08,14.3816420987496
"PA3031_at",3.13792643001897,8.00923123557823,15.8647458283689,1.96576941137439e-10,1.65791588034308e-08,14.3690822993847
"PA0762_algU_at",2.91077485513689,8.91732456955377,15.8315106105756,2.02216912290502e-10,1.67556223990885e-08,14.3404402780076
"PA1583_sdhA_at",-3.41823832053932,5.7023846452476,-15.6873148993332,2.28763793144267e-10,1.86284723279375e-08,14.215481026613
"PA1155_nrdB_at",-3.91276637508884,6.33614058168487,-15.6082822012452,2.44870492272213e-10,1.95736977594656e-08,14.1465105281072
"PA3369_at",3.11005952004122,4.67073637390374,15.5904927245693,2.48660145155184e-10,1.95736977594656e-08,14.130938591277
"PA3266_capB_at",3.04571061789933,6.32519030337167,15.4453038055363,2.82031519500056e-10,2.16778117598483e-08,14.0031921025619
"PA3577_i_at",2.9885207807684,5.96055143667958,15.419373738457,2.8847866733032e-10,2.16778117598483e-08,13.9802533608122
"PA2747_at",2.99050980051837,4.30611571932636,15.4166700859349,2.89159885850189e-10,2.16778117598483e-08,13.9778594320422
"PA5049_rpmE_at",3.16486338581966,5.79507284504657,15.3587926802598,3.0416193490188e-10,2.24462002897122e-08,13.9265136073814
"PA4567_rpmA_at",2.48119537324768,8.13439527044686,15.2971122156806,3.21067745059345e-10,2.3008949784113e-08,13.8715854242248
"PA3644_lpxA_at",-2.71178795755692,6.27462653283904,-15.2789204904082,3.26243141812772e-10,2.3008949784113e-08,13.8553439097582
"PA0411_pilJ_at",-2.60927673393281,5.29577330653497,-15.2783647714232,3.26402632973866e-10,2.3008949784113e-08,13.8548474688632
"PA5555_atpG_at",-4.12121513333947,7.37122230357973,-15.1641522543653,3.61014937228989e-10,2.50746110078311e-08,13.752442827975
"PA0329_at",2.83948065409404,6.35440723785761,15.0721457126475,3.91742368172017e-10,2.68144812300933e-08,13.6694015820584
"PA4326_at",3.46977121593776,5.59925795758707,14.883570249391,4.63784787004515e-10,3.09203610039111e-08,13.4976553723148
"PA2482_at",2.79552244985245,4.4883713165074,14.8810933676169,4.64820163302495e-10,3.09203610039111e-08,13.4953855749913
"PA2445_gcvP2_at",-2.63562114525536,5.0010239030144,-14.8362030266933,4.84018425749548e-10,3.17502642335433e-08,13.4541851190912
"PA2641_nuoF_at",-2.50481207939585,4.75481594150379,-14.786401520686,5.06310655906661e-10,3.275760586092e-08,13.4083364123825
"PA4224_at",-3.44132069829016,6.87017118362315,-14.6146225186651,5.9199581367837e-10,3.77837328108506e-08,13.2490447822744
"PA4432_rpsI_at",2.48556139444842,5.90505457171809,14.5884352952144,6.06361969463491e-10,3.79612687857519e-08,13.2246036452785
"PA1000_at",-4.43124457621725,6.30522096577371,-14.580385242457,6.10852514867064e-10,3.79612687857519e-08,13.2170819076777
"PA4471_at",-2.5467041679764,5.74402221388231,-14.4805378084081,6.69594750078085e-10,4.1071376683361e-08,13.1234559198053
"PA2644_nuoI_at",-2.96325428214086,4.5173401507442,-14.4448230352948,6.9204476336453e-10,4.19041976585984e-08,13.0898168153718
"PA1584_sdhB_at",-3.58719751531442,5.70839038689868,-14.4205303065454,7.07772624969989e-10,4.23140519966235e-08,13.0668905997614
"PA1838_cysI_at",-2.55238852587625,4.44115709463936,-14.3078825060878,7.85850324558677e-10,4.61289594395613e-08,12.960096810589
"PA0768_lepB_at",-2.44062742680694,6.18829320992966,-14.3007183620232,7.91117026170752e-10,4.61289594395613e-08,12.9532779742054
"PA1095_at",2.73894328171339,5.40384612100749,14.2419370724559,8.35777512013161e-10,4.81387462102215e-08,12.8972072226646
"PA4672_at",-2.54341323687063,4.77439278955056,-14.1662589445498,8.97271521388349e-10,5.10579927170744e-08,12.8246950868979
"PA1586_sucB_at",-4.77991190465186,5.97803057332378,-14.0711483304522,9.81476091816066e-10,5.51846616862771e-08,12.7330424146395
"PA0310_at",2.33642333420361,4.52738683452173,13.944892314475,1.10649531478492e-09,6.14820867262258e-08,12.6104706162297
"PA0085_at",-3.15641107364208,5.22979557798133,-13.9072614034255,1.1469612850106e-09,6.29895133616868e-08,12.573735981583
"PA4416_murF_at",-2.21560098883451,5.27397246201418,-13.8540061699251,1.20694567777906e-09,6.55218900706953e-08,12.5215895206686
"PA4408_ftsA_at",-2.53975828188326,4.81649054705559,-13.8381072316286,1.22549491840899e-09,6.57728693141551e-08,12.5059851944087
"PA0462_at",2.27740204026396,5.06141534259768,13.7762429237459,1.30061433967157e-09,6.90202418681891e-08,12.4451072068608
