"Gene","Locus_Tag","logFC","adj.P.Val"
"PA3413","PA3413",2.05494190973504,5.62764912049372e-06
"rubA1","PA5351",1.89798645575988,5.67343435598924e-06
"rppH","PA0336",1.40470811878432,5.67343435598924e-06
"PA3370","PA3370",1.8131359676198,5.91700620890261e-06
"rph","PA5334",1.42042915620514,5.93275216463505e-06
"PA5482","PA5482",3.08544733559081,6.24677527948834e-06
"PA3664","PA3664",1.61942103067862,6.24677527948834e-06
"PA1377","PA1377",1.39860520484619,6.33912373229891e-06
"PA2915","PA2915",1.38749134138765,6.36139245573201e-06
"fliE","PA1100",2.11379089666523,6.4941217673883e-06
"PA4874","PA4874",1.39828681184883,6.63374664006756e-06
"glnA","PA5119",1.40374496188218,6.66115996458354e-06
"PA5062","PA5062",1.49555294456742,6.92879511696666e-06
"cc4","PA5490",1.32085040153579,6.96491790755042e-06
"PA3662","PA3662",1.60524165424206,7.01331916983785e-06
"PA4325","PA4325",1.51946835976232,7.0710754183593e-06
"carO","PA0320",2.07103870704389,7.58283038284178e-06
"PA1428","PA1428",1.96991869555108,7.58930851132227e-06
"trxA","PA5240",1.54122237860406,7.6667657691194e-06
"PA2288","PA2288",1.42364767979123,7.68116503609859e-06
"PA4573","PA4573",1.47377267196631,8.06227275441602e-06
"xseB","PA4042",1.74438205872146,8.12256236378135e-06
"PA0563","PA0563",1.60283748699693,8.42327401328641e-06
"crc","PA5332",1.8441615155777,8.60756922255893e-06
"rpmB","PA5316",1.27811115386367,8.89249114072668e-06
"PA4738","PA4738",1.99067265031816,8.97248766627346e-06
"PA5227","PA5227",1.31239323447487,8.97248766627346e-06
"PA4639","PA4639",1.68212910732366,9.66734947466917e-06
"PA1241","PA1241",1.23527206112187,9.78022281909347e-06
"PA4015","PA4015",1.91089493891149,9.86758472725594e-06
"flgB","PA1077",1.5851208488897,9.91066070266963e-06
"mexS","PA2491",1.57586084192867,9.93748369850041e-06
"tyrS","PA4138",1.74699690283568,9.94165065362353e-06
"PA1749","PA1749",1.39396881872655,9.96031819137603e-06
"ig_289","ig_289",1.31656511825744,9.99005140313855e-06
"PA5176","PA5176",1.27269288623175,1.06261949037535e-05
"PA2559","PA2559",1.73652128587253,1.08278813000597e-05
"mvaT","PA4315",1.46791253840823,1.08434683455049e-05
"ppgL","PA4204",1.72113909180789,1.09580035496728e-05
"rplM","PA4433",1.24420841845426,1.09662026150157e-05
"glnK","PA5288",1.78536244943795,1.1318921205122e-05
"PA1198","PA1198",1.2062360991506,1.16288774738726e-05
"PA3940","PA3940",1.57323109589811,1.24648266925782e-05
"argF","PA3537",1.20113623746006,1.26174868408013e-05
"PA3925","PA3925",1.5986244496644,1.35600568121865e-05
"PA4520","PA4520",1.47384128215828,1.35624188618019e-05
"cmaX","PA1773",1.44876644633809,1.38494817148156e-05
"PA4421","PA4421",1.42240467838978,1.49025118820723e-05
"amgR","PA5200",1.28373756425579,1.49025118820723e-05
"trmD","PA3743",1.20357776301478,1.51671017681235e-05
"PA4714","PA4714",1.78454344652336,1.54465701384714e-05
"PA0128","PA0128",1.4085294581355,1.54465701384714e-05
"PA4723","PA4723",1.38811579741011,1.54465701384714e-05
"coaD","PA0363",1.32099749454191,1.54465701384714e-05
"PA1934","PA1934",1.25801324103876,1.54465701384714e-05
"dsbA","PA5489",1.43528697588958,1.63284877758347e-05
"zur","PA5499",1.21610829909011,1.65454965433539e-05
"PA5247","PA5247",1.45276769895623,1.70526933705971e-05
"PA1675","PA1675",1.29575407660672,1.71424180412645e-05
"PA1325","PA1325",1.41651467031643,1.72713305799223e-05
"PA5225","PA5225",1.20947022906724,1.73504220593105e-05
"dhcA","PA1999",1.87841058537455,1.78479073982485e-05
"purU1","PA4314",1.5981300090228,1.79048321845494e-05
"rplU","PA4568",1.61168824258246,1.79069324390378e-05
"betB","PA5373",1.47046589259911,1.80451747855427e-05
"pyrF","PA2876",1.35873256473727,1.84945496669139e-05
"PA1299","PA1299",1.44521429600914,1.86681588900972e-05
"PA0536","PA0536",1.45453474056816,1.86848019857375e-05
"proA","PA4007",1.16199992419951,1.9323018848041e-05
"PA0756","PA0756",1.18231518505946,2.02129073939668e-05
"PA2569","PA2569",1.43865535209546,2.06009360027153e-05
"PA3967","PA3967",1.65375562284999,2.11948826703482e-05
"ahpF","PA0140",1.89079277328104,2.23562147398025e-05
