"Gene","Locus_Tag","logFC","adj.P.Val"
"cysD","PA4443",-2.12722358045776,2.45550760557926e-06
"PA1478","PA1478",-1.65722977280415,2.45550760557926e-06
"PA3017","PA3017",1.62879174475197,2.45550760557926e-06
"PA5245","PA5245",1.60166150671442,2.47068355188673e-06
"pvdN","PA2394",-3.71000036297581,2.47883424404928e-06
"warA","PA4379",1.54404313535821,2.4917445764389e-06
"waaC","PA5011",-1.63550937752053,2.51437150957837e-06
"shaE","PA1058",-1.89665050044657,2.53823334519475e-06
"cmk","PA3163",-2.16809137459799,2.61831246746806e-06
"tssE1","PA0087",-1.78770768401831,2.62377635788353e-06
"PA3717","PA3717",1.66516296328182,2.62377635788353e-06
"PA3850","PA3850",1.57271171172554,2.62377635788353e-06
"PA5048","PA5048",1.57514658027206,2.64087501843264e-06
"metZ","PA3107",-2.52419235342402,2.71535377439964e-06
"pvdT","PA2390",-1.89869882487038,2.71789786030072e-06
"topA","PA3011",-2.18205518360502,2.83437444440272e-06
"PA1126","PA1126",1.45226152529662,2.85723708457239e-06
"PA2464","PA2464",1.44313163098044,2.85723708457239e-06
"tle5","PA3487",-2.05989362665135,2.89037619324607e-06
"PA5438","PA5438",1.70947677773265,2.89037619324607e-06
"zipA","PA1528",1.45183420227546,2.89037619324607e-06
"PA5424","PA5424",2.11716299156678,2.9229698122948e-06
"PA0387","PA0387",-1.90012285923704,2.9229698122948e-06
"PA1968","PA1968",1.46632631627838,2.9229698122948e-06
"sutA","PA5285",1.5813468152575,2.94129529529256e-06
"PA2867","PA2867",1.37144679532774,2.99033103285558e-06
"lolD","PA2987",-1.56947886271784,3.00320941892425e-06
"PA5003","PA5003",-1.53798875759804,3.02252404525777e-06
"atpA","PA5556",-3.04121876228738,3.12310873309977e-06
"truA","PA3114",-2.0764565504563,3.12677681532074e-06
"phzE2","PA1903",-4.07817845857546,3.15750812728367e-06
"murG","PA4412",-1.48576779793325,3.16224442499548e-06
"PA0769","PA0769",-2.57577119428223,3.1673059401345e-06
"PA3349","PA3349",1.74595053127588,3.1673059401345e-06
"nqrF","PA2994",-1.60136014458414,3.1673059401345e-06
"PA1011","PA1011",-1.65199496315623,3.17820300202672e-06
"ccmG","PA1481",-2.01944830155362,3.18289021170711e-06
"PA5463","PA5463",1.86640967525392,3.19018181697049e-06
"nfuA","PA1847",1.61017164756789,3.23281567092487e-06
"mksB","PA4686",-2.35492104756353,3.26934747458982e-06
"tse3","PA3484",-1.81999195274914,3.26934747458982e-06
"PA3480","PA3480",1.73383092220818,3.26934747458982e-06
"PA4383","PA4383",1.47395381367149,3.29862785969315e-06
"lppL","PA5276",1.4798941976437,3.36489020628035e-06
"tatC","PA5070",-1.83150634033683,3.36526401825431e-06
"PA4223","PA4223",-1.8647015791881,3.38257743090747e-06
"phhB","PA0871",-1.45130323448429,3.38257743090747e-06
"secD","PA3821",-1.44723498428644,3.38257743090747e-06
"PA2754","PA2754",2.25433219881765,3.40462474864587e-06
"PA4724","PA4724",1.64948360351694,3.40462474864587e-06
"PA3046","PA3046",1.49467196691647,3.40462474864587e-06
"PA5371","PA5371",1.45530465724197,3.42881005410593e-06
"waaF","PA5012",-1.54357930012636,3.4552118031205e-06
"PA0490","PA0490",1.73995958241655,3.47305694746267e-06
"nqrC","PA2997",-1.52334876150433,3.57654362594189e-06
"PA4360","PA4360",1.49759606468854,3.70013620123232e-06
"PA1425","PA1425",1.49077614426394,3.70013620123232e-06
"cysN","PA4442",-2.27396429908122,3.71513774356176e-06
"aatM","PA1340",-1.67827979508986,3.7759096892715e-06
"PA3185","PA3185",1.65854567608226,3.80663136643462e-06
"PA2633","PA2633",-1.63048325674328,3.80805469047428e-06
"tse5","PA2684",-1.51124658628169,3.80805469047428e-06
"clpV1","PA0090",-2.41558408440563,3.81558681714455e-06
"PA3335","PA3335",-1.87470825287522,3.85390359317833e-06
"PA4739","PA4739",2.87736939117019,3.86622090227609e-06
"ig_364","ig_364",1.4080680684348,3.86622090227609e-06
"tolQ","PA0969",-1.61670487914326,3.97840757426061e-06
"bacA","PA1959",1.49526760251125,4.02014923584938e-06
"pauB3","PA2776",1.50708677779248,4.05123342418807e-06
"rplS","PA3742",1.94377001674076,4.24137179486187e-06
"prs","PA4670",-1.75637821918378,4.25896869292036e-06
"rmlC","PA5164",-2.54475579021859,4.26788049808619e-06
"PA0332","PA0332",1.81121528909325,4.26788049808619e-06
"PA1550","PA1550",-1.63747024849785,4.26788049808619e-06
"fpvD","PA2408",-2.53129108648423,4.31704677711836e-06
"flgF","PA1081",1.79873742816504,4.32893148204399e-06
"soj","PA5563",-1.63856684578524,4.39988869367085e-06
"lpxB","PA3643",-1.55404613591635,4.41050455509208e-06
"PA1439","PA1439",1.46720876788297,4.56365244299214e-06
"PA3799","PA3799",-1.58674508431409,4.56754516710734e-06
"PA3463","PA3463",1.41200016208157,4.56754516710734e-06
"mcpK","PA5072",1.66616466716051,4.64425929487871e-06
"sdhD","PA1582",-1.9572145464949,4.71701586626418e-06
"pyrE","PA5331",1.72722070744206,4.71701586626418e-06
"PA2855","PA2855",1.41446017238717,4.71701586626418e-06
"PA4395","PA4395",1.62641254652769,4.84789579128996e-06
"waaP","PA5009",-1.66216172819126,4.87590075144154e-06
"PA3722","PA3722",1.45082801032559,4.88616473755284e-06
"PA4114","PA4114",1.96012160610932,4.90832656719183e-06
"maiA","PA2007",-1.49674518358144,4.96551598565195e-06
"aatP","PA1339",-2.17526240440027,5.14904378036754e-06
"rpmI","PA2742",1.6849887323078,5.169805236939e-06
"guaA","PA3769",-2.27075982870891,5.34215661166642e-06
"cysK","PA2709",1.39783224766961,5.44493550408009e-06
