"Gene","Locus_Tag","logFC","adj.P.Val"
"PA3081","PA3081",-1.43578568177869,1.18604370832674e-05
"PA5504","PA5504",-1.79988139184679,1.1900065342032e-05
"phzD2","PA1902",-2.77155444471322,1.19027918643567e-05
"cobC","PA1276",-1.65058472855159,1.20996882502326e-05
"fabZ","PA3645",-2.5810641080239,1.26174868408013e-05
"hisC2","PA3165",-1.7358092786244,1.26174868408013e-05
"tolB","PA0972",-1.58807596537404,1.29088665524649e-05
"cdsA","PA3651",-1.82431163226672,1.31649470929297e-05
"htpG","PA1596",-2.05724191748736,1.32318001165071e-05
"rluA","PA3246",-1.65267092500189,1.3399575505755e-05
"rplX","PA4252",-1.96651002330928,1.35966960655709e-05
"glcB","PA0482",-1.4434030639873,1.40363505588385e-05
"pqsA","PA0996",-1.40770185752771,1.40419443872333e-05
"metG","PA3482",-1.59766131574697,1.43042608079031e-05
"pitA","PA4292",-1.35792733966125,1.46819420643815e-05
"nudC","PA1823",-1.46336736987796,1.4687249668605e-05
"spuG","PA0303",-1.45340596519659,1.48902328583557e-05
"lon","PA1803",-1.88845261965521,1.59824416519562e-05
"ccmH","PA1482",-2.14565697046126,1.59933884047345e-05
"sspA","PA4428",-2.05273085925112,1.59933884047345e-05
"ruvC","PA0965",-1.35769646274124,1.67459190785067e-05
"PA4373","PA4373",-2.02638241589362,1.69863572311556e-05
"phzC2","PA1901",-2.85684814690839,1.71424180412645e-05
"PA0955","PA0955",-1.78089740394106,1.73339339420558e-05
"pyrB","PA0402",-1.31248113902347,1.84222548816194e-05
"acp3","PA3334",-1.8898460329595,2.05225607254183e-05
"rplQ","PA4237",-2.48998928604282,2.05234122452613e-05
"proS","PA0956",-1.29370083464287,2.11948826703482e-05
"ccmF","PA1480",-1.95963206850404,2.13852559461257e-05
"prpB","PA0796",-1.5029911428477,2.25852792529979e-05
"ig_599","ig_599",-1.13812406120172,2.4276746632615e-05
"rplE","PA4251",-1.79601672257442,2.43808306923863e-05
"vgrG1","PA0091",-1.32097259330854,2.4393749989619e-05
"mutL","PA4946",-1.55647027038508,2.50639955894668e-05
"glmM","PA4749",-1.14040156289515,2.55492276976626e-05
"anmK","PA0666",-1.27708104954788,2.70109580770006e-05
"PA5217","PA5217",-1.3489481126481,2.72009593412857e-05
"PA3329","PA3329",-2.01059872249598,2.77539492140613e-05
"PA3330","PA3330",-1.95165876888051,2.78015670941317e-05
"rnt","PA3528",-1.48560910036432,2.82621693767974e-05
"hemO","PA0672",-1.15132729744757,2.87521672843943e-05
"secA","PA4403",-1.4592411877491,2.87941052036165e-05
"PA5456","PA5456",-1.57370170046701,2.88522257999302e-05
"aatQ","PA1341",-1.85377475774594,2.91953645996831e-05
"trkA","PA0016",-1.19647322176017,2.95716310859694e-05
"magC","PA4490",-1.61448362963441,2.96114061497881e-05
"pchA","PA4231",-2.62350188446045,2.98574178491773e-05
"fimX","PA4959",-1.32157542896813,3.01401756394082e-05
"recG","PA5345",-1.48627012728596,3.0621107514194e-05
"aatJ","PA1342",-1.33488960368078,3.15409779207193e-05
"spuE","PA0301",-1.26473023035242,3.15816292653639e-05
"PA3697","PA3697",-1.25786961087362,3.15816292653639e-05
"rplP","PA4256",-1.93653234908017,3.16251752173026e-05
"PA0370","PA0370",-1.70531783595809,3.21220835608956e-05
"magB","PA4491",-1.41340774331054,3.24452828936758e-05
"aruD","PA0898",-1.6461966337494,3.28647139769758e-05
"argB","PA5323",-1.35482288129813,3.32074376415418e-05
"algO","PA3257",-1.16210648179627,3.33559775098229e-05
"cobI","PA2904",-1.27606028569969,3.34140117235525e-05
"PA3659","PA3659",-1.31513077768227,3.37527814910177e-05
"fahA","PA2008",-1.55381250184596,3.42711314942049e-05
"cobB","PA1273",-1.34714879620005,3.42711314942049e-05
"rpsQ","PA4254",-2.11732203478786,3.44073296357514e-05
"bkdA2","PA2248",-1.50463714922302,3.50368929737071e-05
"tolR","PA0970",-1.21198584676448,3.56191596849343e-05
"gatB","PA4484",-1.87981204955929,3.5775371423387e-05
"PA0802","PA0802",-1.31008176861211,3.61010070758136e-05
"tseT","PA3907",-1.34487757101015,3.62035752997484e-05
"roxR","PA4493",-1.24428900787211,3.62035752997484e-05
"bamB","PA3800",-1.57475767349978,3.64750192733223e-05
"cobP","PA1278",-1.97852248340655,3.65418528768398e-05
"hsiC2","PA1658",-2.31609011661343,3.67402445219404e-05
"rpoA","PA4238",-2.23236124305564,3.67516417255036e-05
"PA2401","PA2401",-1.97199387478262,3.68239083627579e-05
"chpB","PA0414",-1.43773401147572,3.70721476900528e-05
"pheA","PA3166",-1.94318575934735,3.74752951409195e-05
"purC","PA1013",-1.65145333805775,3.75365174600046e-05
"rpsC","PA4257",-1.57819393553541,3.8026866450387e-05
"chpA","PA0413",-1.22589644534389,4.12927012226787e-05
"PA4399","PA4399",-1.12394621301097,4.34215947647654e-05
"PA1692","PA1692",-1.97598674208807,4.37395824336857e-05
"prmC","PA4664",-1.85598830772896,4.39369127991527e-05
"phhC","PA0870",-1.46440878328269,4.39369127991527e-05
"PA3328","PA3328",-1.51437981266057,4.39796888020715e-05
"PA3634","PA3634",-1.16430574979624,4.67308960883505e-05
"ggt","PA1338",-1.81064527078283,4.70197733265871e-05
"pscP","PA1695",-1.19325139835563,4.82566963448652e-05
"PA1837","PA1837",-1.21360606621099,4.84648188860148e-05
"PA2613","PA2613",-1.23745432272795,4.84730055796938e-05
"PA5202","PA5202",-1.62649195032701,4.99745848532305e-05
"PA3837","PA3837",-1.1484976961528,5.02474561041207e-05
"PA4320","PA4320",-1.50527186615944,5.04170217785377e-05
"lysC","PA0904",-1.49431331016502,5.07183398759417e-05
"metF","PA0430",-2.03355029714439,5.16674996659122e-05
"sucC","PA1588",-1.88056452214674,5.21750758166096e-05
"PA3173","PA3173",-1.72794488223701,5.24296411054693e-05
"rodA","PA4002",-1.07338423660414,5.39899574419309e-05
"PA2993","PA2993",-1.81264460306387,5.56723963821851e-05
"hslV","PA5053",-1.5318926984349,5.67596106034544e-05
"rpsN","PA4250",-1.85454162414422,5.70469386224629e-05
"PA4372","PA4372",-1.44279882062007,5.79191125523094e-05
"atpH","PA5557",-1.53756467156156,5.85725378271432e-05
"pvdQ","PA2385",-2.65198904833899,5.93326515883447e-05
"mksE","PA4685",-1.67245973896981,6.02739594501733e-05
"icmF1","PA0077",-1.35122081297313,6.05344860226532e-05
"nuoB","PA2638",-1.55975383794592,6.30954229347029e-05
"uvrC","PA2585",-1.12825377977266,6.50479191271372e-05
"PA2911","PA2911",-1.24169772247059,6.5475768058888e-05
"glyA1","PA5415",-1.42975291270643,6.65998662354294e-05
"carA","PA4758",-1.46731320268073,6.8206017850913e-05
"parE","PA4967",-1.18889120963457,6.86090580861813e-05
"rplN","PA4253",-2.09410199741025,6.90180687870765e-05
"atpF","PA5558",-1.51986991647393,7.02371748915534e-05
"hcpC","PA0263",-2.26990750732387,7.10133519308954e-05
"oprC","PA3790",-1.43294552233676,7.110334973761e-05
"grpE","PA4762",-1.92118354552989,7.1806076852814e-05
"PA3784","PA3784",-1.03684216433274,7.30854886631935e-05
"PA3247","PA3247",-1.2323565645965,7.34180756207419e-05
"sucD","PA1589",-2.02154719456982,7.34194236428924e-05
"fabH2","PA3333",-1.79257637034912,7.34629712032154e-05
"PA5250","PA5250",-1.21335612779095,7.58553252197947e-05
"PA3983","PA3983",-1.27766258771894,7.62864728849388e-05
"PA4671","PA4671",-1.24516005886198,7.78282628072464e-05
"hsiJ2","PA1667",-2.34557161122351,7.93650605815779e-05
"oprM","PA0427",-1.35574153644832,8.00403094508051e-05
"tssK1","PA0079",-1.42235135601804,8.02198201894162e-05
"oprQ","PA2760",-1.38936403593815,8.21939097711946e-05
"PA3483","PA3483",-1.16902132852892,8.32870036543915e-05
"pyrG","PA3637",-1.11958356915299,8.4647527443215e-05
"PA3998","PA3998",-1.3279984609176,8.51096321956785e-05
"gatA","PA4483",-1.45042841837267,8.5679459097925e-05
"idh","PA2624",-1.92448091193563,8.59530555748353e-05
"proC","PA0393",-1.09559513551457,8.59530555748353e-05
"PA1274","PA1274",-1.67785812066646,8.72770295785671e-05
"pvdD","PA2399",-1.76708962744939,9.26563201737657e-05
"PA1768","PA1768",-1.26380978258733,9.26563201737657e-05
"wapG","PA5007",-1.20199260976044,9.3388876419101e-05
"lspA","PA4559",-1.49790925785569,9.35075464566824e-05
"rplV","PA4258",-1.40228978229314,9.36019985903922e-05
