"Locus_Tag","Gene_Name","logFC","AveExpr","P.Value","adj.P.Val","B"
"PA0527","dnr",-0.471193891027061,3.67811360897567,0.0301364481729889,0.0651118228367003,-4.92973581020204
"PA4945","miaA",0.478022767981414,5.42316901763193,0.0301702578045952,0.0651326440545546,-4.93079766246023
"PA3818",NA,0.399619241080702,4.69473711651316,0.0301736661425716,0.0651326440545546,-4.93090463870624
"PA4595",NA,0.396875155552649,6.1992788281049,0.0302021258370869,0.0651642943483607,-4.93179740191452
"Pae_tR",NA,0.890697478536899,3.37667814381496,0.0303294797416422,0.065409193068391,-4.93578171742514
"PA1810","nppA2",-0.412643880056749,3.60733712173774,0.0304311742350969,0.0655985558705443,-4.93895078173309
"PA1102","fliG",-0.438506358107358,6.20853703595455,0.0304747741830378,0.0656625722931056,-4.94030609378911
"PA0948",NA,-0.468028151083831,3.95433231363083,0.0305251826999502,0.0657112296681244,-4.94187053726968
"PA0005","lptA",0.429840310756024,3.95388270267713,0.0305186557107048,0.0657112296681244,-4.9416681218569
"PA5134","ctpA",-0.529857125875191,5.56327299296233,0.0306722830149489,0.0659377299406481,-4.9464205073286
"PA0749",NA,0.463182657942708,2.90423000447366,0.0306626337162735,0.0659377299406481,-4.94612274124375
"PA0352",NA,0.418156840665055,3.91219955025106,0.030665721124254,0.0659377299406481,-4.94621802566176
"PA5299",NA,0.470727909017227,3.54526702949244,0.0308468620495358,0.0662828614467505,-4.9517910282206
"PA3995",NA,0.46834931301798,3.53172101784227,0.0311006817784286,0.0667978717778618,-4.95954300091352
"PA4206","mexH",0.555628975358377,5.23379385550897,0.031249591056633,0.0670074637687075,-4.96406026520741
"PA0670",NA,0.527577813074951,2.50229389422251,0.0312447223873453,0.0670074637687075,-4.96391292571054
"PA2859","greB",-0.482066737108107,3.95011093828597,0.0312158175684275,0.0670074637687075,-4.963037692554
"PA4345",NA,0.454736267840696,2.91247016728391,0.0312550164476948,0.0670074637687075,-4.96422442448654
"PA3579",NA,0.390685732146316,3.66895397016679,0.0313705937546666,0.0672247342573913,-4.96771448083206
"PA4604",NA,-0.747644388563322,4.39058154049563,0.0315046938739167,0.0674814826151967,-4.97174711529923
"PA4812","fdnG",0.376349741047504,4.29628837324429,0.0316086785459799,0.0676735216557857,-4.97486183148055
"PA1123",NA,-0.451369440550054,4.08070821570892,0.031857558099319,0.0681754630281303,-4.98227351881022
"PA1171","sltB2",0.519110453339846,3.29116586190065,0.0319059475753606,0.068248093477549,-4.98370755952777
"PA5454","rmd",0.411367356249772,5.07026822876009,0.0319258747683001,0.0682598037712456,-4.98429745071475
"PA3574","nalD",0.445914852891586,3.97785263352066,0.0320190977251413,0.0684027483132475,-4.98705197925067
"PA4606",NA,-0.400174923729067,5.45376976442105,0.0320216973365637,0.0684027483132475,-4.98712867206556
"PA2637","nuoA",0.425488678139264,5.32797084817512,0.0320861135542141,0.0685093645192374,-4.98902698646791
"PA5355","glcD",0.48620078039934,2.60905404748424,0.0321529232887373,0.068620992631137,-4.99099164443624
"PA1788",NA,0.448452459979535,3.48340979630238,0.032203009196547,0.0686968439183793,-4.9924617198242
"PA4289",NA,0.477592955806366,3.26029231917917,0.0323101166256777,0.0688942125612081,-4.9955974555837
"PA0114","senC",-0.611671019910017,4.8305868297092,0.0325192691520706,0.0692151907188956,-5.00168959567331
"PA3235",NA,0.488241840692866,4.46412222192381,0.0324980774623101,0.0692151907188956,-5.00107419242068
"PA0102","psCA1",0.461385063452296,6.30702754977417,0.032508171117812,0.0692151907188956,-5.00136736271948
"PA2545","xthA",0.379502930492318,4.71256686943498,0.0325104453109455,0.0692151907188956,-5.00143340357393
"PA1599",NA,0.420550143284115,3.56329563626883,0.032536845795275,0.0692214066176053,-5.00219970138845
"PA3027",NA,0.495055846893367,3.78768699817305,0.0325577264550959,0.0692346429749743,-5.00280532228737
"PA5172","arcB",-1.30703892515646,6.81246358321635,0.0327908088044562,0.0696989153840894,-5.00953825853833
"PA1235",NA,0.586872633675382,4.01309856614333,0.0328392753379187,0.0697391625094379,-5.01093201865019
"PA1994",NA,0.372324004956432,3.06026908534607,0.0328317537568719,0.0697391625094379,-5.01071585999167
"PA0515",NA,-0.678454438479903,3.57355236348887,0.0330412561352327,0.0701365630232378,-5.01671740356123
