"","GSM252496","GSM252501","GSM252505","GSM252506","GSM252507","GSM252508","GSM252559","GSM252560","GSM252561","GSM252562"
"PA5288_glnK_at",4.7478914177752,5.06003395472515,4.8570544825297,6.8388184640368,7.09543153548409,6.08681720382301,8.20211572054252,8.2074194733565,8.20008486584571,8.13623915551547
"PA5289_at",4.75232223061703,4.74594854956186,4.96048386147821,5.10801325683722,5.48168346212863,4.90401113834262,4.63735241323479,4.60030825762532,4.65653476049574,4.67354690192335
"PA5290_at",4.1023269473737,3.92619429444753,3.9893492116868,5.01732804915243,5.10894928391933,4.68170624851819,3.28393436959156,3.36084270384554,3.2715561884624,3.55003195215793
"PA5291_at",3.64918712388965,3.28918673145014,3.44506475747679,3.42966160906375,3.39017954536786,3.45205666292321,2.9249730640306,2.81352008249069,3.16096886017427,3.08202098123617
"PA5294_at",3.48157928547211,3.32384895807815,3.75754224158185,4.02217317876231,3.96672475422541,4.01253216831525,2.78551296944572,2.90590342488665,2.42577112040311,2.54317817368597
"PA5295_at",4.78043826516146,4.97893975629619,4.80879104716804,5.18731103296012,5.34659576133889,5.39181009016791,5.03918419540189,5.12703203296242,5.0873855624482,4.80363606942899
"PA5296_rep_at",3.87835827907713,3.897103016592,4.25932835296785,4.39097493238206,4.53602870812614,4.50288835046963,2.04673471321538,2.43131619020992,1.9924711953318,2.14244860188137
"PA5297_poxB_at",4.04789861653453,3.91993442588354,3.86836397032169,3.9538940201936,3.86836397032169,4.26639645436413,3.6124033383694,3.72748134272594,3.59310965379133,3.54549935943309
"PA5298_at",6.10918438208938,6.22403381775392,6.57832677941859,7.19256947993232,7.1940341205538,6.60517683578066,4.35648255964523,4.56352017909274,4.44538188044314,4.52327071536728
"PA5299_at",3.31216508795002,3.03257414254541,3.75186774676994,3.67914270546937,3.92146128014399,3.90818671870369,3.57827720214401,3.18543309022486,3.49541647994904,3.5881458410241
"PA5300_cycB_at",5.50657382663406,5.67613105917576,5.8781353406301,6.83520569799924,6.87771563320202,6.78888053492374,5.93622884876407,6.03155067792873,5.69019402830665,5.59746314721513
"PA5301_at",5.43156955606653,5.55717471457681,5.5218698021998,6.35880624909027,6.34006407840282,5.94262571704287,6.09468973958598,5.96953340999818,6.04620984802224,5.92357860458683
