Name,Score,Direction,Studies,string_format
nirJ,0.001176069,Down,4,PA0511
atpG,0.001190832,Down,4,PA5555
PA2753,0.001441585,Down,4,PA2753
PA0459,0.001573043,Down,4,PA0459
lpd,0.001635863,Down,3,PA1587
PA0629,0.001678204,Down,4,PA0629
PA0050,0.001757093,Down,4,PA0050
PA4220,0.001783873,Down,4,PA4220
PA0620,0.001896217,Down,4,PA0620
pqsD,0.001911043,Down,4,PA0999
PA0111,0.001931825,Down,4,PA0111
PA2375,0.001980283,Down,4,PA2375
shaE,0.002171045,Down,4,PA1058
oprG,0.002230753,Down,4,PA4067
PA0113,0.002424885,Down,4,PA0113
fumC1,0.002437835,Down,4,PA4470
phzS,0.002616201,Down,4,PA4217
PA2501,0.003154122,Down,4,PA2501
arcD,0.003323532,Down,4,PA5170
PA0112,0.00333962,Down,4,PA0112
PA0638,0.003355704,Down,4,PA0638
PA1550,0.003401323,Down,4,PA1550
PA3723,0.003422815,Down,4,PA3723
hupB,0.003464203,Down,4,PA1804
lecA,0.003505097,Down,4,PA2570
cbcW,0.003578945,Down,4,PA5377
nuoM,0.003702477,Down,4,PA2648
PA4610,0.003729307,Down,4,PA4610
PA0636,0.003826551,Down,4,PA0636
PA2174,0.004374257,Down,4,PA2174
PA4925,0.004400435,Down,4,PA4925
PA4336,0.004509083,Down,4,PA4336
nrdB,0.004674541,Down,4,PA1155
aatM,0.00468765,Down,4,PA1340
PA1789,0.004844325,Down,4,PA1789
PA2381,0.004963706,Down,4,PA2381
acp3,0.005303704,Down,4,PA3334
pqsB,0.00537272,Down,4,PA0997
rpoC,0.005850804,Down,4,PA4269
pilP,0.005932719,Down,4,PA5041
dppF,0.005961039,Down,4,PA4506
ackA,0.00614436,Down,4,PA0836
PA2119,0.006169287,Down,3,PA2119
argJ,0.006182239,Down,4,PA4402
PA5348,0.006603769,Down,4,PA5348
PA0641,0.006708591,Down,4,PA0641
pqsE,0.006888683,Down,4,PA1000
atpD,0.007049897,Down,4,PA5554
PA0614,0.007165509,Down,4,PA0614
PA3415,0.007189038,Down,4,PA3415
PA3417,0.007211118,Down,4,PA3417
arnF,0.007280594,Down,3,PA3558
PA3226,0.007584866,Down,4,PA3226
aspA,0.007714457,Down,4,PA5429
fpvA,0.007793466,Down,3,PA2398
ldh,0.008140644,Down,4,PA3418
rpoB,0.00828864,Down,4,PA4270
PA0627,0.008383977,Down,4,PA0627
PA3559,0.008459355,Down,3,PA3559
phzC2,0.008491332,Down,4,PA1901
PA4463,0.008566673,Down,4,PA4463
fabI,0.008657108,Down,4,PA1806
pchC,0.008767652,Down,4,PA4229
clpV1,0.008793798,Down,4,PA0090
leuA,0.008971193,Down,4,PA3792
PA3613,0.009148199,Down,4,PA3613
ggt,0.009201806,Down,4,PA1338
dppC,0.009250985,Down,4,PA4504
pilB,0.009474121,Down,4,PA4526
wbpH,0.009619544,Down,3,PA3149
aruB,0.009779866,Down,4,PA0899
aatJ,0.009867276,Down,4,PA1342
