"Gene","Locus_Tag","logFC","adj.P.Val"
"pyrD","PA3050",0.804702300446799,0.00707664768747541
"tssF1","PA0088",0.738596990614139,0.00712922301824765
"PA2288","PA2288",2.80985191213344,0.00727364321923417
"rpmA","PA4567",1.0827461660913,0.00736950659068082
"PA2929","PA2929",1.21879263017484,0.00772010543711651
"PA4530","PA4530",-0.662210705016919,0.00789430775485959
"purF","PA3108",1.34834695412773,0.00940415742272116
"PA4852","PA4852",1.36561821545473,0.0102479475782369
"clpP2","PA3326",-0.814023049129638,0.0105575835655342
"ig_125","ig_125",1.51074314706024,0.010684852675609
"PA3169","PA3169",0.743911242240054,0.010684852675609
"gyrA","PA3168",1.45040158758403,0.0108111384779346
"dnaG","PA0577",1.2140964975553,0.0114665653478004
"proS","PA0956",0.877084975635848,0.0131357293465122
"imm2","PA1151",1.99200778901292,0.0132006884395072
"adhA","PA5427",-1.96491249417739,0.0132006884395072
"obg","PA4566",1.36240101656168,0.0132006884395072
"hcp1","PA0085",1.3447998978624,0.0132006884395072
"tagJ1","PA0086",1.26461891094192,0.0132006884395072
"rbfA","PA4743",0.649015541473345,0.0132006884395072
"pilP","PA5041",-0.842456127856149,0.0134000840521383
"ig_312","ig_312",0.831114120219409,0.0135139789098867
"PA2943","PA2943",1.00300574254002,0.0135503498143525
"nrdB","PA1155",1.76771877962995,0.0135862073345275
"gloA1","PA3524",1.12386416643591,0.0142177592843853
"PA0922","PA0922",1.67462717568863,0.0142985443363383
"PA2840","PA2840",1.43921473771419,0.0169425104105175
"tig","PA1800",1.55835058405802,0.0170583082359203
"bamI","PA2782",1.37620862267536,0.0182150946317658
"rpsA","PA3162",1.3027300507173,0.0182150946317658
"sigX","PA1776",1.19915756185901,0.0185006639631814
"tssE1","PA0087",0.70720624655617,0.0187742545862766
"rplS","PA3742",2.13779146731023,0.0188329536939473
"tssK1","PA0079",0.925536632544132,0.0212064602671273
"prs","PA4670",1.12467001695216,0.0220282836368588
"lysS","PA3700",0.978372916304235,0.0220282836368588
"PA3306","PA3306",1.00976845060874,0.02337712434206
"serC","PA3167",1.00172523264685,0.023783773170342
"nirE","PA0510",-0.779437862600929,0.0267444223712569
"pilA","PA4525",-1.37769019562006,0.026859537718155
"PA3818","PA3818",1.04951986702224,0.02713558361976
"still frameshift 3-phosphoshikimate 1-carboxyvinyltransferase prephenate dehydrogenase","PA3164",0.736454733903418,0.02713558361976
"metZ","PA3107",1.51675530209439,0.0272573553165735
"tssC1","PA0084",1.03032511556377,0.0277185609849199
"PA1894","PA1894",-0.862029439686374,0.0277185609849199
"rluC","PA2975",0.814982457296859,0.0277185609849199
"PA3966","PA3966",0.597362207216358,0.0277185609849199
"aspS","PA0963",1.40729478312219,0.0289154345259211
"pcnA","PA4918",1.39504929781432,0.0307368798746206
"rplM","PA4433",1.5344513220213,0.0344913810016739
"ccoP2","PA1555",-1.57181385623668,0.0355770090126155
"pilB","PA4526",-0.541201414660863,0.0355770090126155
"PA2627","PA2627",1.00859560275023,0.0360493982670974
"PA0671","PA0671",0.786407123717479,0.0361360713709537
"PA3414","PA3414",1.42636634045859,0.0370167122020499
