"Gene","Locus_Tag","logFC","adj.P.Val"
"nadD1","PA4006",1.06992786363572,0.0175867997099011
"hptB","PA3345",1.03519350632975,0.0175867997099011
"PA1263","PA1263",0.689614673702579,0.0175867997099011
"PA1897","PA1897",-1.43318331946743,0.0178569172350897
"ffh","PA3746",0.939882455007412,0.0178569172350897
"Pae_tR","Pae_tR",0.870169217315247,0.0178569172350897
"htpX","PA2830",2.47861007021619,0.0182491989147412
"PA2983","PA2983",0.674094202369986,0.0182491989147412
"PA3201","PA3201",1.01498425140474,0.0184007142749028
"pilB","PA4526",-0.560272423267442,0.0184007142749028
"liuA","PA2015",1.47525803609088,0.0185714392013732
"PA0119","PA0119",1.32973801543044,0.0185714392013732
"PA0200","PA0200",-1.26003649990267,0.0185714392013732
"PA4787","PA4787",0.798938899190976,0.018764484902972
"PA3262","PA3262",1.30272937697635,0.018774124262255
"PA5335","PA5335",0.85769630287729,0.018774124262255
"PA3110","PA3110",1.02360527796195,0.0188753211133515
"arcC","PA5173",-1.76398920910533,0.0190804147028964
"nirM","PA0518",-1.53428820660008,0.0190804147028964
"braF","PA1071",-0.495256300852805,0.0190804147028964
"rplC","PA4263",1.49792835297474,0.0192441507902141
"mexA","PA0425",1.04842771073265,0.0192441507902141
"PA2375","PA2375",-0.910655321012349,0.0193009654974677
"PA1199","PA1199",1.44643824023442,0.0193154309219031
"galU","PA2023",1.18834018793278,0.0194703207495999
"PA4530","PA4530",-0.509020395903386,0.0195224666013159
"accB","PA4847",1.16095503357797,0.0196641154499933
"ccoP2","PA1555",-1.58667505584298,0.0197558071463775
"PA2980","PA2980",0.644172335306941,0.0197558071463775
"PA1641","PA1641",1.07061227361681,0.0198887638241818
"secE","PA4276",1.30199014163599,0.0204472703445395
"rplK","PA4274",1.0745074053152,0.0204472703445395
"PA1790","PA1790",0.632129237293189,0.0204472703445395
"PA0588","PA0588",-1.89119536599198,0.0205555871908154
"dppA1","PA4496",-0.670145813628029,0.0205555871908154
"ldh","PA3418",-1.65900189488161,0.0206287004921348
"dinB","PA0923",1.65839928926139,0.0206463953420754
"nalC","PA3721",1.10362581142029,0.020822725732875
"PA3386","PA3386",0.813893020603,0.0209668699894155
"azu","PA4922",-1.29549578399677,0.0210004215322153
"nadE","PA4920",1.06815542831999,0.0210004215322153
"htrB2","PA3242",0.713991664122608,0.0210004215322153
"arcA","PA5171",-2.34859870322921,0.02118191047018
"PA3417","PA3417",-1.64531404376505,0.0217123248597488
"gyrA","PA3168",1.14215000276945,0.0217123248597488
"wzz","PA3160",1.51752722308303,0.021795973932288
"PA0617","PA0617",-0.6271210257993,0.0218282104330835
"PA4723","PA4723",0.751847443387103,0.0219019121992134
"pilP","PA5041",-0.688891283909065,0.0219019121992134
"PA0111","PA0111",-0.606811318107415,0.0219019121992134
"spoT","PA5338",0.603877387724037,0.0219019121992134
"pauA6","PA5522",0.448292664049904,0.0219055517320282
"ig_312","ig_312",0.678186897247755,0.0222990955848691
"PA2906","PA2906",0.961474064861655,0.0224324861385386
"PA1888","PA1888",-0.814267613844396,0.0224324861385386
"nmoR","PA4203",0.865927465591042,0.0224908488023118
"PA0638","PA0638",-0.467905900681488,0.02288696651696
"PA0744","PA0744",-0.673841086325089,0.022985067257735
"PA1041","PA1041",-2.21416732532205,0.0237802656681584
"oprD","PA0958",-2.02210279453046,0.0237802656681584
"rplA","PA4273",1.75026781697772,0.0237802656681584
"rpsB","PA3656",1.68115775060249,0.0237802656681584
"arcD","PA5170",-1.57107463948861,0.0237802656681584
"hcp1","PA0085",-1.07468180406429,0.0237802656681584
"PA4453","PA4453",0.997987487375783,0.0237802656681584
"PA0620","PA0620",-0.623377419905321,0.0237802656681584
"PA5524","PA5524",0.716156992514069,0.0239249016500878
"PA3203","PA3203",0.91856527388868,0.0240406551214681
"PA4746","PA4746",1.49538815875404,0.0241930359170312
"rnhA","PA1815",0.875535289330346,0.0243418641171213
"cpxR","PA3204",0.776493597967407,0.0243418641171213
"PA1157","PA1157",0.625574042765257,0.0243418641171213
"PA2793","PA2793",0.623204929822769,0.0249044055067001
"katA","PA4236",-1.64713591987344,0.0257042184521474
"PA4785","PA4785",2.04118569646804,0.0258734046047741
"bamI","PA2782",1.13682372705428,0.0266042295967301
"tonB1","PA5531",1.70036638076616,0.0267005615259858
"rplD","PA4262",1.6625031115052,0.0276673991436035
"PA4611","PA4611",-1.55390636385651,0.0276673991436035
"PA2692","PA2692",0.661489466768701,0.0276673991436035
"PA3979","PA3979",0.536512268564664,0.0276673991436035
"PA2770","PA2770",0.744981941188716,0.0277949407630387
"mgtE","PA0913",1.41796619579633,0.0282819800129792
"PA1750","PA1750",0.726691615335682,0.0283595942423653
"PA1299","PA1299",1.29520016753752,0.0283766271449421
"PA0120","PA0120",1.03292214053557,0.0283766271449421
"wbpX","PA5449",-0.552757684109137,0.0283766271449421
"PA2860","PA2860",1.26793523436689,0.02854240170343
"zwf","PA3183",1.6700166474174,0.0285809727092425
"PA1006","PA1006",0.765464220364651,0.0286640745531823
"amgR","PA5200",1.49818317299657,0.0288894268016737
"PA4004","PA4004",0.706624149714722,0.0288894268016737
"PA1200","PA1200",0.949336620085829,0.0294597133981046
"wbpA","PA3159",1.34753853380981,0.0300491866770134
"mreC","PA4480",1.25355546952832,0.0300491866770134
"PA3286","PA3286",0.915767596408163,0.0300491866770134
"typA","PA5117",0.885152172263547,0.0300491866770134
"guaA","PA3769",0.650961618337204,0.0307300548858498
"PA5217","PA5217",0.907260536998992,0.0309004032810602
"PA4325","PA4325",1.11393122453052,0.0311413335315174
"rplF","PA4248",1.41614422500774,0.0312622052659901
"PA4910","PA4910",-0.482009541261597,0.0328175631986954
"PA0113","PA0113",-0.61910537301071,0.0328232228268346
"PA3818","PA3818",0.886359046420177,0.0333810181492739
"PA2802","PA2802",0.599499206826977,0.0334943427209677
"nuoF","PA2641",-1.02811159207649,0.0336221939732499
"PA1135","PA1135",-0.682910652465965,0.0338051530185332
"PA0621","PA0621",-0.72817612708857,0.0343107124210563
"PA0050","PA0050",-0.720778555889781,0.0346023093370166
