"","GSM1608067_Biofilm+12hrcipro_rep1","GSM1608068_Biofilm+12hrcipro_rep2","GSM1608069_Biofilm+12hrcipro_rep3","GSM1608070_Biofilm+12hrtobra_rep1","GSM1608071_Biofilm+12hrtobra_rep2","GSM1608072_Biofilm+12hrtobra_rep3","GSM551150","GSM551151","GSM551152"
"ig_3515415_3514564_at",6.83585028171296,6.9270900065446,6.84916185163515,6.78578530450346,6.81348400330034,6.87789449101762,6.81413452074016,6.77603324422263,6.85251040853039
"ig_3526677_3527428_at",8.77325881551661,9.06224623733272,9.11458648529141,8.85699000299766,8.96865683396558,9.19975807760579,9.24356835513303,9.03827315300965,9.17803669545616
"ig_3527428_3526677_at",8.32007178099517,9.07231378903858,8.21505520421144,10.2598168869429,9.25500978770414,9.60881732718287,8.65635486272768,8.11376043715885,8.66812180899234
"ig_3545073_3545880_at",8.32997234986464,8.79814492947621,8.85289586770227,8.64724433315731,8.87427132038743,8.88410978182079,8.76591855564342,8.73521141626589,8.71116208461837
"ig_3545880_3545073_at",9.5652047986392,10.1452248918883,9.28282383958385,11.2956470432171,10.6034876065707,10.9100014202532,9.83046676494804,8.9299598871866,9.03891646063661
"ig_3546926_3547688_at",7.33208384002193,7.29296663902902,8.11682509760251,7.2334348187009,7.24874398213365,7.63001229330558,7.92274344154263,7.51553370780089,7.5796450761699
"ig_3547688_3546926_at",8.16599188109565,9.00529596839764,8.03404528265149,9.74301957776115,8.75577344254891,9.05619061799222,8.40331020242082,7.90861430662268,8.20830995682982
"ig_3648915_3649704_at",8.28015542409492,8.0039895793538,8.75901665664585,8.32965284569005,8.42167324436969,8.63871247053344,8.79204975123118,8.4995621329592,8.5733169282001
"ig_3649704_3648915_at",9.17639214467456,9.95147875796367,8.98254499737939,9.84651483224872,9.35315659882321,9.34360561864464,9.14181417092489,8.69080307632764,8.76526057745238
"ig_3677080_3677719_at",8.34241598065959,7.95685292139516,8.99750549957401,8.11667069141718,8.3658635408465,8.70614823559629,8.47559073856278,8.40084653608208,8.46373709310569
"ig_3677719_3677080_at",7.9313067847911,7.72028069986028,7.9313067847911,8.09266546922661,8.00538269862106,8.10645358725452,7.9313067847911,7.9313067847911,7.74252604177205
"ig_3705160_3705889_at",7.74384174066434,7.55032479325114,7.72739004909604,7.8862056188795,7.68981419443403,7.72544663130518,7.9243075482971,7.55480089012357,7.72544663130518
"ig_3705889_3705160_at",9.69227708985579,10.0084557007774,10.1167480250124,11.105720650951,10.8597585423931,10.8934286547907,9.43428211074609,9.27261804201082,9.51011754646484
"ig_3874653_3873835_r_at",7.71053828759347,7.99942811449116,7.69620878376877,7.38673728008511,7.63610915757885,7.12837392351214,8.14581643427903,7.62628263175181,7.68590857673262
"ig_3961922_3962824_at",6.55880130781064,6.50571649681686,6.5606710273093,6.43340694500846,6.43463830963611,6.49982952624359,6.5239709685817,6.4555232133777,6.51159257103632
"ig_3962824_3961922_at",6.51140193054442,6.41730663460194,6.52168347690076,6.44896893805849,6.45561794273483,6.55266881334307,6.51694445862837,6.4791705592163,6.52685228622656
"ig_4240578_4241341_at",8.02519247204118,7.98988175179015,8.06141946627568,8.07065541489717,8.01733014139384,8.17710532938711,8.15055621080941,8.08260235508216,8.41141497189142
"ig_4241341_4240578_at",8.10655610837272,7.85499963001187,8.03756008292742,8.13667975442148,8.15751778569489,8.31857563819082,8.09522381707822,8.0289445592956,8.2092837362183
"ig_4294604_4297249_at",6.64134796587212,6.51628183110614,6.96925869921692,6.50206914661777,6.66164821712021,6.82319829149146,6.72904448324876,6.67067907538097,6.75204921182015
"ig_4297249_4294604_at",6.63385629713028,6.62008999072126,6.62158197752496,6.63246797142466,6.55054915823423,6.7751328381246,6.8035458011927,6.62217472098637,6.80903344824671
"ig_4320819_4321433_at",7.64179538129156,7.56068232547819,7.85642393762582,7.63031412382624,7.79635090587039,8.03506654461822,7.63555287191445,7.81589421840353,7.99161293873543
"ig_4321433_4320819_at",7.87929104422971,7.50428632687428,7.86612972816624,7.72623423581035,7.54102404690155,7.79602343518262,8.15849306781967,7.69081547230794,8.04531922150163
"ig_4326394_4327696_at",6.88230748776025,6.84135464759233,6.96113545958226,6.75854667145793,6.89440238938882,7.05374625356197,6.99890604144057,6.92371836041483,7.03866241028169
"ig_4327696_4326394_at",8.2427957381009,8.12601655355594,8.08600350829194,7.60234529896221,7.45584068667997,7.78484834253247,7.82326386094836,7.4740173268971,7.78484834253247
"ig_4448217_4448892_at",8.20769270636975,8.01764489792913,8.08939468640109,8.05288094852686,8.11271616061579,8.14760471837263,8.13057528391616,8.14365125945535,8.24618722948064
"ig_4448892_4448217_at",8.57465915667578,8.78880876839993,8.39899999837216,8.65669816844303,8.6078543676765,8.25735922980907,8.36031132809764,8.5333691109133,8.09888545747173
"ig_4509996_4510970_at",7.18315419870132,6.86301615403131,7.25593936359028,7.02977798091998,7.00721989252136,7.39020681193739,7.1767528731497,7.21669558983299,7.44763044967486
"ig_4510970_4509996_at",7.52067018574629,7.47008982538746,7.44214777356086,7.58883884158009,7.54483460700355,8.05378675597692,7.4211260390927,7.52512371222652,7.69708772638913
"ig_4559649_4560294_at",7.09480812098355,6.99144491199833,7.44914827479969,7.3997358377447,7.3997358377447,7.64571783693933,7.44708672204999,7.3997358377447,7.44211506925273
"ig_4560294_4559649_at",6.66052125224768,6.64303966545677,6.72688813317006,6.62244773310965,6.59819679472455,6.71422769152518,6.76997925388345,6.66057766212328,7.19278127362087
"ig_4584530_4585148_at",7.65894115245446,7.3505778005464,8.36886221343641,7.1801570886357,7.60927559527042,7.7021986307008,7.7021986307008,7.79968337498426,7.91574213284711
