"Locus_Tag","Gene_Name","logFC","AveExpr","P.Value","adj.P.Val","B"
"PA2104",NA,-0.203173507295595,7.75063743567476,0.399738337045762,0.707786692469402,-7.23993762113822
"PA3075",NA,-0.198952509153861,9.0874699901767,0.399496001552747,0.707786692469402,-7.23950777683295
"PA2219","opdE",-0.190231063801591,7.90554619190134,0.399637422831451,0.707786692469402,-7.23975866967603
"PA3563","fruR",-0.181599111937633,8.54410387496637,0.396791846108536,0.707786692469402,-7.23468555100043
"PA4388",NA,-0.180690408098291,8.05823382651445,0.394668147314921,0.707786692469402,-7.23086507932794
"PA1087","flgL",-0.168238259929376,9.41344750508986,0.397958544858915,0.707786692469402,-7.23677188868061
"PA0706","cat",0.167052692813122,8.32212049161777,0.397344739307935,0.707786692469402,-7.23567535885809
"PA2255","pvcB",-0.166191489668862,7.59968543911957,0.397382155543621,0.707786692469402,-7.23574227086583
"PA5564","gidB",-0.153991196305716,9.64984883398925,0.396097564073588,0.707786692469402,-7.23343980407782
"PA3436",NA,-0.147443704535521,8.48724140837678,0.39914851742342,0.707786692469402,-7.23889076551092
"PA0192",NA,-0.146283050185643,8.24517834203692,0.398019973091517,0.707786692469402,-7.23688149241407
"PA0011","htrB1",-0.144172284038031,7.93832716947869,0.399400567541667,0.707786692469402,-7.2393383964913
"PA3143",NA,0.138257045181944,7.91141583350109,0.396524589546905,0.707786692469402,-7.23420638600902
"ig_432",NA,-0.128052794885947,7.77374369419598,0.398337247339971,0.707786692469402,-7.23744720233616
"PA0076","tagF1",0.126158579310115,7.34928962726393,0.399688470989636,0.707786692469402,-7.23984920169414
"PA2437",NA,0.124953222895352,8.08960395411268,0.396463279948622,0.707786692469402,-7.23409639821526
"PA0816",NA,-0.119005036845805,7.59693492309367,0.39753224907979,0.707786692469402,-7.23601059399336
"PA3781",NA,-0.115496418278478,7.78446487455323,0.39690060909435,0.707786692469402,-7.23488041924568
"ig_462",NA,-0.11314665934404,7.04598130473301,0.395616454161343,0.707786692469402,-7.23257470405455
"PA3095","xcpZ",-0.112695235372653,8.11141608232645,0.397889987110178,0.707786692469402,-7.23664953520533
"PA1953","fapD",-0.107717225467985,7.2616709360904,0.398792155715852,0.707786692469402,-7.23825718313635
"PA1736",NA,0.104096512007688,7.48911201179081,0.395656497931899,0.707786692469402,-7.23264676590078
"PA1898","qscR",0.103665434554183,7.73554364644233,0.399310252163027,0.707786692469402,-7.2391780469702
"PA4080",NA,-0.101853637642449,6.68562359896225,0.399926676921741,0.707786692469402,-7.24027142989552
"PA0957",NA,-0.101395216818626,7.33392346958742,0.396683194505053,0.707786692469402,-7.2344908053999
"PA1307",NA,0.101175250754702,8.9474956969417,0.398685466926938,0.707786692469402,-7.23806733981359
"PA2246","bkdR",-0.10079691537578,7.96079365080911,0.398045954746005,0.707786692469402,-7.23692784300254
"ig_320",NA,-0.099956336829238,7.46592267230369,0.395781131499793,0.707786692469402,-7.23287098641016
"PA1499",NA,-0.0988166005591822,8.33929335940582,0.400079427014484,0.707786692469402,-7.24054199310311
"PA1125",NA,-0.0941496501433683,8.64199420364119,0.399828602403918,0.707786692469402,-7.24009763354916
"PA1645",NA,-0.0893762091194468,8.36611739003631,0.397749545910175,0.707786692469402,-7.23639879786657
"PA2579","kynA",0.0858323884649099,7.90185680788927,0.398931147302132,0.707786692469402,-7.23850439632666
"PA2674",NA,-0.0854898364178176,7.89414571674308,0.396419538489328,0.707786692469402,-7.23401791221186
"PA0007",NA,-0.085145877807614,8.65849659897427,0.398156837742363,0.707786692469402,-7.23712560624135
"PA3704","wspE",-0.085101894135617,8.33665143809113,0.399377423705825,0.707786692469402,-7.2392973110032
"ig_471",NA,-0.0849827855023184,6.71188991767773,0.395778777703491,0.707786692469402,-7.23286675278339
"PA3751","purT",-0.0847335789353885,8.53036064098381,0.396812282691281,0.707786692469402,-7.23472217265174
"PA1878",NA,-0.0843066143756968,9.51223914582439,0.398984899223286,0.707786692469402,-7.23859996716426
"PA1243",NA,-0.0743014135887892,7.88156528227008,0.399229579848621,0.707786692469402,-7.23903477375398
"PA0984",NA,-0.0727490869489138,6.41888164506671,0.399145303816099,0.707786692469402,-7.23888505563218
"PA4705","phuW",-0.0720021888327143,7.92515843863184,0.398840198450838,0.707786692469402,-7.23834264698442
"PA2546",NA,-0.0714681215461122,7.54485070862731,0.396394190084465,0.707786692469402,-7.23397242344915
"PA2190",NA,0.284068323747892,8.58855085051949,0.400710531978916,0.70847831545568,-7.24165827235289
"PA5505",NA,-0.257332971048809,8.68232899794081,0.400707701229918,0.70847831545568,-7.24165327109946
"PA0952",NA,-0.112789905867132,8.2403070712264,0.400857832245947,0.708526426078817,-7.24191844588267
"PA1302","hxuA",0.131830332217474,8.25492245682996,0.401779358353248,0.709730004276695,-7.24354297753208
"ig_148",NA,-0.112998357836435,7.6314816213439,0.40176081772981,0.709730004276695,-7.24351034611568
"PA4486",NA,-0.135437855444356,7.66544551617277,0.402176485574117,0.709793976933081,-7.24424139516312
"PA1427",NA,-0.0957260505240241,7.46618578571904,0.402015747675961,0.709793976933081,-7.24395883016626
"PA0772","recO",-0.086395999944739,6.94107963791758,0.402067262309545,0.709793976933081,-7.24404940683725
"PA2188",NA,-0.283084989549248,8.44013809491423,0.402558112706459,0.709830503576841,-7.24491160998448
"PA2835",NA,-0.208398824431756,8.38583583972996,0.402517147732524,0.709830503576841,-7.24483971140069
"PA4100",NA,-0.0912214231042761,8.20660987047765,0.402417283139148,0.709830503576841,-7.244664392152
"PA5489","dsbA",0.350166899114845,10.7448801256233,0.402753883735515,0.709963523764427,-7.24525506551334
"PA2494","mexF",0.0782850484322513,7.56817414366863,0.402903808474674,0.710015672043183,-7.24551792547484
"PA2224",NA,-0.0801436969859592,6.63852506500117,0.40341051538026,0.71069633942775,-7.24640527256428
"PA2448",NA,0.0913069729959775,7.57126572120744,0.403730433163715,0.71104762855699,-7.24696467918745
"PA3601","rpmE2",0.709059697524312,10.0639046739457,0.40394109502433,0.711169770279988,-7.24733268926333
"PA0462",NA,0.200305787773718,10.1549646763402,0.404040859318393,0.711169770279988,-7.24750687232875
