"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA3113_trpF_at",1.04682932307752,11.2597523396532,5.80708887416228,0.000301884582849495,0.0114910905729808,0.555156355906329
"PA3741_at",0.944678335962669,8.64557121379304,5.79827618754276,0.000305124583743977,0.0115124597210478,0.544029410355922
"PA3108_purF_at",1.20707472846493,10.2519697576691,5.79497369014581,0.000306348504441441,0.0115124597210478,0.539856775709264
"PA4916_at",1.40203665399302,8.31712050865611,5.75465276407691,0.00032173116253056,0.0120140117653817,0.488785198735875
"PA2742_rpmI_at",0.926619678557575,13.3483334908006,5.7335047720479,0.000330134268255153,0.012250265300034,0.461904594043078
"PA0576_rpoD_at",1.78186607303044,11.4031599020046,5.6908073716697,0.000347838348913042,0.0128177781268186,0.407435533491634
"PA4244_rplO_at",1.23907943883198,11.9705539871323,5.68628499878093,0.000349773267528439,0.0128177781268186,0.401650836277739
"PA4421_at",1.67224409766421,8.93681375084336,5.67591569427603,0.000354254239420586,0.0129018519295152,0.388375931192748
"PA4896_at",0.546266500827672,8.93594882415295,5.66767810056321,0.000357858597934339,0.0129531639743104,0.377818914429596
"PA4525_pilA_at",-1.45791618839433,7.55257634980014,-5.63344210112664,0.000373272393326186,0.0134287019550274,0.333837295933807
"PA0797_at",1.06006168310962,9.59296035317394,5.62699280583717,0.00037625615504827,0.0134540079683927,0.325533006207281
"PA5568_at",0.6909927490159,11.2149773674671,5.61041363430514,0.000384046371273827,0.0136498409067204,0.304157326240141
"PA3811_hscB_at",1.9265283738065,9.34189084483918,5.58782655151637,0.000394943540238156,0.0139430428583164,0.274970916292863
"PA3742_rplS_at",2.10671659726473,10.6519455150927,5.57895829036454,0.000399313685182199,0.0139430428583164,0.263491177167875
"ig_5207621_5208463_at",0.56558714071749,8.35631687012443,5.57881351221554,0.000399385464924657,0.0139430428583164,0.263303669964754
"PA3326_at",-0.712044961321329,9.3736842204856,-5.55545977790794,0.000411149991364457,0.0142693232297076,0.233017222367356
"ig_3545880_3545073_at",1.66993098575657,9.95574807921373,5.51629194223537,0.000431736436960367,0.0148961694623752,0.182042462489131
"PA4943_at",1.68811074173588,10.9855703733454,5.51156759398513,0.000434294377724219,0.0148973071428657,0.175878749970717
"PA5172_arcB_at",-2.36985234701153,10.4122451988904,-5.49415195636382,0.000443867237355841,0.0151030515555463,0.153128736595292
"PA5199_envZ_at",0.735983780467896,9.56230684121772,5.49030102482628,0.000446014820900563,0.0151030515555463,0.148092244893289
"PA0376_rpoH_at",1.44366890561704,12.0602670723653,5.48450307545766,0.00044926956248348,0.0151030515555463,0.140505200812614
"PA4450_murA_at",1.16361083289024,10.4446275630338,5.47995843070534,0.000451838808398416,0.0151030515555463,0.134554736241018
"PA1086_flgK_at",-0.851815254800833,9.12652127039666,-5.4768654666476,0.000453596505189654,0.0151030515555463,0.130503268373603
"PA4942_hflK_at",1.85346195504753,10.3508607342735,5.46916785893998,0.000458003336535416,0.0151030515555463,0.120414065449348
"PA1164_at",1.19545502261194,8.93345950254082,5.46880672243719,0.000458211225159793,0.0151030515555463,0.119940511745178
"PA4935_rpsF_at",1.43622774337916,11.3194509329515,5.45750905057958,0.00046476684138577,0.0152340242454225,0.105116306697251
"PA1800_tig_at",1.45761087555375,10.5068806365429,5.40563972224027,0.000496201857643913,0.0161745356911552,0.0368142974945016
"PA1532_dnaX_at",1.05954226540926,9.87792723339874,5.3767923197969,0.00051467892609907,0.0166846465054094,-0.00134434295965935
"PA4243_secY_at",1.12620234547427,9.67032863352407,5.36928457248268,0.000519609416256839,0.0167524347317779,-0.0112956102997748
"PA1746_at",-1.92308849547612,9.45851353539848,-5.36222015405125,0.000524295653670886,0.0167937116135261,-0.0206668842217566
"PA1895_at",-1.1486406977484,8.45040244675418,-5.35879766492128,0.000526582482797004,0.0167937116135261,-0.0252096312840067
"PA3572_at",-1.69333735110783,9.94373124856276,-5.32784497245987,0.000547763483830037,0.0173487572573291,-0.0663727024230125
"PA3107_metZ_at",1.52540430771198,10.2483404300732,5.32298314898916,0.000551173723050384,0.0173487572573291,-0.0728512102757364
"PA4433_rplM_at",1.61009375431085,11.6384355056552,5.31885585071408,0.000554086840970053,0.0173487572573291,-0.0783536965789349
"PA1241_at",1.30345483570308,8.87188789881873,5.31651240251893,0.000555748325700882,0.0173487572573291,-0.0814790911574166
"PA2647_nuoL_at",-0.87079452934778,8.30393989058682,-5.31098364483412,0.0005596896460029,0.0173798363758795,-0.0888558783798672
"PA1263_at",0.689614673702579,8.30868620017121,5.29127303515214,0.00057398976573709,0.0175867997099011,-0.115191841558728
"PA1183_dctA_at",1.48157445906048,9.32455928239417,5.28834946817826,0.000576144396832936,0.0175867997099011,-0.119103024939744
"PA3345_at",1.03519350632975,9.48548070843371,5.28778902745911,0.00057655843649718,0.0175867997099011,-0.119852934369587
"PA4006_at",1.06992786363572,8.76704721015943,5.2798911858794,0.000582427644003016,0.0175867997099011,-0.130425769049676
"PA4607_at",-2.57318116365281,11.6309300613099,-5.27411670943801,0.000586759930827739,0.0175867997099011,-0.138161922211216
"PA0517_nirC_at",-1.14718841086639,9.16288107801073,-5.27359806050842,0.000587150754512761,0.0175867997099011,-0.138857006538506
"PA3809_fdx2_at",1.41036175897997,9.55444625418573,5.27350585938026,0.000587220261500089,0.0175867997099011,-0.138980577081552
"PA1897_at",-1.43318331946743,9.95241228150476,-5.25628284546075,0.000600362057004275,0.0178569172350897,-0.16208550968122
"PA3746_ffh_at",0.939882455007412,9.32395923875207,5.25363130032934,0.000602413484641185,0.0178569172350897,-0.165646514967983
"Pae_tRNA_Val_f_at",0.870169217315247,11.2639854235568,5.24989224356497,0.000605319228308125,0.0178569172350897,-0.170669816952492
"PA2983_at",0.674094202369986,9.40379422421809,5.22767656502971,0.000622900468690067,0.0182491989147412,-0.200558747372555
