Name,Score,Direction,Studies
rpsR,0.006193842,Up,4
tssK1,0.006206433,Up,4
rpsU,0.006311639,Up,4
PA2539,0.006375518,Up,3
PA0628,0.006793478,Up,4
sutA,0.006815203,Up,4
murD,0.00701307,Up,4
recN,0.007021953,Up,4
rplD,0.007082165,Up,4
rpmJ,0.007115967,Up,4
PA0635,0.007239813,Up,4
PA0621,0.007246377,Up,4
tpiA,0.007391456,Up,4
tssE1,0.007476518,Up,4
rpsI,0.007875845,Up,4
PA1164,0.007903981,Up,4
PA2537,0.007969398,Up,4
flgZ,0.007969665,Up,4
PA3720,0.008185534,Up,4
purF,0.008237741,Up,4
rpsK,0.008346541,Up,4
alpA,0.008371423,Up,4
PA0578,0.008605957,Up,4
PA2224,0.008606949,Up,3
rpsF,0.008639558,Up,4
PA3021,0.008915767,Up,4
magE,0.008925725,Up,4
PA1096,0.009097298,Up,4
rpsM,0.009183392,Up,4
PA2769,0.009218052,Up,4
vqsM,0.009244501,Up,3
PA0633,0.00951087,Up,4
PA1030,0.009551028,Up,4
PA3729,0.009684814,Up,4
PA3850,0.009834156,Up,4
PA3796,0.009918418,Up,4
PA4607,8.17E-06,Down,4
arcB,1.20E-05,Down,4
PA1746,2.02E-05,Down,4
adhA,2.68E-05,Down,4
oprB,3.27E-05,Down,4
nuoI,3.85E-05,Down,4
PA1041,4.76E-05,Down,4
pilA,5.98E-05,Down,3
oprD,7.49E-05,Down,4
arcC,1.26E-04,Down,4
PA0200,1.39E-04,Down,4
nuoF,1.82E-04,Down,4
PA3615,1.90E-04,Down,4
PA4139,2.09E-04,Down,4
arcA,2.42E-04,Down,4
sucB,2.48E-04,Down,4
ccoP2,2.97E-04,Down,4
ccpR,3.06E-04,Down,4
nuoL,3.37E-04,Down,4
nirE,3.66E-04,Down,3
PA0918,3.68E-04,Down,4
nuoH,3.91E-04,Down,4
ftsZ,4.14E-04,Down,4
cspD,4.17E-04,Down,4
PA4108,4.65E-04,Down,4
nuoJ,4.89E-04,Down,4
nuoK,5.02E-04,Down,4
oprI,5.81E-04,Down,4
PA4577,5.96E-04,Down,4
azu,6.67E-04,Down,4
PA5475,7.43E-04,Down,4
ansB,7.58E-04,Down,4
katA,7.63E-04,Down,4
ccoO2,8.56E-04,Down,4
PA0713,8.75E-04,Down,4
PA4352,8.83E-04,Down,4
PA4611,9.63E-04,Down,4
PA3572,0.001019498,Down,4
nuoG,0.001038273,Down,4
PA3309,0.001140976,Down,4
PA1894,0.001141453,Down,4
PA1888,0.001148234,Down,4
nirJ,0.001176069,Down,4
atpG,0.001190832,Down,4
PA2753,0.001441585,Down,4
PA0459,0.001573043,Down,4
lpd,0.001635863,Down,3
PA0629,0.001678204,Down,4
PA0050,0.001757093,Down,4
PA4220,0.001783873,Down,4
PA0620,0.001896217,Down,4
pqsD,0.001911043,Down,4
PA0111,0.001931825,Down,4
PA2375,0.001980283,Down,4
shaE,0.002171045,Down,4
oprG,0.002230753,Down,4
PA0113,0.002424885,Down,4
fumC1,0.002437835,Down,4
phzS,0.002616201,Down,4
PA2501,0.003154122,Down,4
arcD,0.003323532,Down,4
PA0112,0.00333962,Down,4
PA0638,0.003355704,Down,4
PA1550,0.003401323,Down,4
PA3723,0.003422815,Down,4
hupB,0.003464203,Down,4
lecA,0.003505097,Down,4
cbcW,0.003578945,Down,4
nuoM,0.003702477,Down,4
PA4610,0.003729307,Down,4
PA0636,0.003826551,Down,4
PA2174,0.004374257,Down,4
PA4925,0.004400435,Down,4
PA4336,0.004509083,Down,4
nrdB,0.004674541,Down,4
aatM,0.00468765,Down,4
PA1789,0.004844325,Down,4
PA2381,0.004963706,Down,4
acp3,0.005303704,Down,4
pqsB,0.00537272,Down,4
rpoC,0.005850804,Down,4
pilP,0.005932719,Down,4
dppF,0.005961039,Down,4
ackA,0.00614436,Down,4
PA2119,0.006169287,Down,3
argJ,0.006182239,Down,4
PA5348,0.006603769,Down,4
PA0641,0.006708591,Down,4
pqsE,0.006888683,Down,4
atpD,0.007049897,Down,4
PA0614,0.007165509,Down,4
PA3415,0.007189038,Down,4
PA3417,0.007211118,Down,4
arnF,0.007280594,Down,3
PA3226,0.007584866,Down,4
aspA,0.007714457,Down,4
fpvA,0.007793466,Down,3
ldh,0.008140644,Down,4
rpoB,0.00828864,Down,4
PA0627,0.008383977,Down,4
PA3559,0.008459355,Down,3
