Name,Score
PA2458,0.211029646
valS,0.21240942
PA3854,0.212420255
pstC,0.212514308
atpF,0.212942302
PA1283,0.213108549
lolE,0.213243302
PA3691,0.213256554
PA2379,0.213407495
PA5149.1,0.213579853
PA4319,0.213848522
PA0097,0.214510268
PA3429,0.215173733
PA3496,0.215277019
pslA,0.215299696
PA0668.5,0.215811285
PA4349,0.215948111
pmpR,0.216007918
PA2201,0.216130061
frr,0.216307004
PA2286,0.216485507
PA4840,0.216717692
PA4866,0.216767612
map,0.216964214
leuC,0.217712964
PA1061,0.21772394
glnS,0.217793992
cbcV,0.218042716
metK,0.218122791
PA4578,0.218361492
cysM,0.218613802
PA2465,0.218680268
glnK,0.219490946
aruC,0.219606211
PA1114,0.220042351
PA1013.1,0.220274147
PA2692,0.220591176
rpoC,0.220896347
rsmZ,0.220911699
ahpF,0.220930613
PA2411,0.221514396
PA0699,0.221549251
PA4026,0.222363923
rpsT,0.223355699
PA2915,0.223445282
wbpM,0.223606073
PA1940,0.223780682
PA0200,0.223921163
wbpK,0.224135532
PA3689,0.224528805
PA1572,0.224573271
PA2627,0.225162781
PA2812,0.225543478
PA5229,0.226481704
rpsN,0.226537784
xenB,0.226968441
PA4656,0.227493096
PA2450,0.227792335
fdxA,0.227802707
ilvH,0.228243545
pyrC,0.228713768
exsC,0.228914373
magA,0.229307233
cobO,0.229518648
cspD,0.229650549
rhlG,0.230002503
PA4308,0.230138112
PA1263,0.23020806
PA1315,0.230446395
PA0387,0.230474976
PA0238,0.23175008
fpvC,0.232068856
PA3284,0.232536299
hscA,0.23260648
PA4045,0.232833573
mexC,0.233117131
nuoJ,0.233343959
PA3575,0.233979112
PA3785,0.233981511
PA0127,0.234428021
PA1654,0.234694806
PA3674,0.234977441
psCA1,0.235350894
dctD,0.235575391
PA4069,0.2357058
PA3619,0.235894166
holA,0.236850494
PA4533,0.236869438
PA5339,0.23716927
wspD,0.237488046
comL,0.238071985
PA3282,0.238125598
PA3978,0.238501953
PA1065,0.238524652
PA3998,0.238740726
ureA,0.23876315
esrC,0.238840137
rmlA,0.239081925
rpsS,0.23937296
PA2197,0.239400701
PA1410,0.240357029
fur,0.240504449
PA1821,0.240591248
PA2189,0.240675805
PA3838,0.240994581
folK,0.241693218
flgF,0.241974261
hflK,0.242259946
fabF1,0.24260355
PA4368,0.242661607
pauR,0.242735984
sltB1,0.242838332
PA2957,0.242907164
ig_199,0.243037009
PA3793,0.243317102
gbt,0.24365942
thrC,0.243863564
PA0937,0.244085471
PA4530,0.244501116
PA0968,0.244502843
PA2668,0.244563144
cdhC,0.244819892
PA2798,0.245354972
nirE,0.245457443
uvrC,0.245669551
gdhB,0.245697262
glyA2,0.245776219
ppgL,0.245881602
hsiB2,0.246413771
mdpA,0.246852346
bkdB,0.247278917
mexW,0.247370099
PA0370,0.247688875
PA0401,0.248308194
PA0671,0.248974415
PA3144,0.249431042
PA3139,0.249513084
PA2454,0.24960153
PA1923,0.249920306
PA3789,0.250557858
gmk,0.250796541
lrp,0.250858647
ccoN2,0.25119541
ppsA,0.251288862
PA0446,0.251430752
PA0882,0.251514186
PA5518,0.251803551
fdnI,0.251832961
PA3647,0.252151737
amn,0.252345355
PA1425,0.252455987
aatM,0.252470513
PA2613,0.252644557
pruR,0.252738818
PA0655,0.253475029
PA4383,0.253882263
PA3321,0.253982704
PA3663,0.254483022
cpxR,0.254877756
PA3690,0.255246089
PA3967,0.25593097
PA2134,0.255977048
tal,0.256078794
PA2464,0.256172901
PA2867,0.256600298
osmC,0.257916826
PA2317,0.258208479
PA4456,0.258472005
PA1198,0.258473128
pslF,0.258809042
PA2292,0.258846031
PA4495,0.258993446
ribE,0.259687275
PA4361,0.26054229
ltaA,0.260758687
PA3170,0.260819927
wbpA,0.26089201
ureC,0.261077463
PA5079,0.261715014
hepA,0.262508861
waaF,0.262540324
PA4960,0.262772028
PA4422,0.263258298
PA2017,0.263308894
rplV,0.26334397
wspR,0.26362767
pgk,0.263815508
PA1573,0.263866381
opmD,0.263946446
pvdI,0.264583997
PA3613,0.264784433
PA2756,0.265215237
PA4099,0.265221549
adhA,0.266815429
PA2618,0.267127295
dotU2,0.267134205
PA4721,0.267452981
PA0351,0.267541327
PA2218,0.267771756
PA4570,0.267844035
PA3709,0.268115942
nusB,0.268252699
aotP,0.268409308
aprI,0.268981305
PA5037,0.269247454
clpV2,0.269684412
glpD,0.269744372
rpoN,0.270105645
PA3419,0.270125906
PA1689,0.271278291
ppa,0.27137338
pilM,0.271597067
PA2316,0.271915843
nagZ,0.272008542
pdxB,0.272056473
PA0053,0.272189349
PA3208,0.272528289
PA0452,0.273097826
ptsP,0.273200783
PA4784,0.27355971
PA4683,0.273941244
fha1,0.274376223
odsA,0.275103602
vgrG3,0.275741154
birA,0.275899046
cupA3,0.27605993
atpI,0.276193763
narG,0.276378706
fdhE,0.276697482
PA4105,0.277016258
PA3919,0.277335033
PA3717,0.278182944
pqsD,0.278928913
tplEi,0.278975962
pmiR,0.279037319
PA4058,0.279282717
ahpB,0.280808852
azu,0.281160344
PA1653,0.28133535
PA2055,0.282435448
pheA,0.282837037
cca,0.283098054
PA1944,0.283391776
PA2220,0.283710551
PA3215,0.283738318
rsaL,0.283861122
PA5230,0.284348103
PA1116,0.284599576
PA1600,0.284885053
trxA,0.285368973
PA4063,0.285447384
arcA,0.285623207
PA4429,0.286260759
PA4573,0.28652589
PA0974,0.286566324
PA2457,0.28689831
PA1159,0.286913392
PA5436,0.286994142
nqrE,0.287397359
icmF3,0.287535862
chpB,0.288173414
PA0367a,0.28849219
PA3938,0.289485662
dsdA,0.291306327
PA2145,0.291962549
tse6,0.291998725
PA2929,0.292079861
PA0099,0.293025362
pscF,0.293592604
PA5252a,0.29391138
aatP,0.294548932
PA1675,0.294636473
PA2324,0.294867708
PA2221,0.295158147
PA3574a,0.29550526
dspI,0.295742754
fiuI,0.29574987
rplN,0.295918205
PA3057,0.296142812
exsE,0.296451736
mdoH,0.296461588
pscH,0.297099139
PA4185,0.297558047
PA1746,0.297849284
PA0959,0.298050081
PA0569,0.298055467
PA5437,0.298551906
PA0982,0.298693019
PA1518,0.298847086
glnA,0.299215636
liuB,0.299369625
mutS,0.299457834
PA5392,0.300286898
ampE,0.300526913
PA4874,0.300622696
PA4593,0.30092445
glyA3,0.301067895
PA0754,0.301177536
pslM,0.301376447
PA2179,0.301880778
PA0846,0.302230314
PA0123,0.30255176
mutY,0.302837106
femA,0.303155881
PA3432,0.303442029
PA1036,0.304320722
PA2089,0.304430985
PA5381,0.304463945
PA4833,0.304533954
atoB,0.304822057
pauC,0.304840384
PA1967,0.304845479
vgrG4b,0.305387313
algC,0.305421808
PA5286,0.30599008
PA3986,0.306073641
dauB,0.306753148
mexB,0.306976213
PA0388,0.306981192
phuT,0.307168152
PA0021,0.307299968
PA5370,0.307516215
PA3219,0.307897749
serC,0.308065515
PA2844,0.308266764
PA5104,0.308419799
PA2229,0.308575072
PA4088,0.309212624
PA1141,0.309423884
odsB,0.309531399
PA5190,0.309980856
ureB,0.310168951
PA1974,0.310483053
ccoQ1,0.310487727
lpxC,0.310864923
phhB,0.311141304
rpiA,0.311475828
PA5537,0.311713087
PA2455,0.311762831
betI,0.311858218
PA5391,0.312081607
PA3400,0.312719158
oprM,0.313107238
PA3341,0.314344736
selD,0.314389603
PA4928,0.3145198
PA1539,0.314612232
PA4558,0.31495059
PA3286,0.315136807
PA4398,0.315906917
PA4639,0.315915485
PA5442,0.316291492
